,subject,which_regions,demog_question,demog_response,culture
82,SS1608750563425,character(0),zipcode,917,US
83,SS1608750563425,character(0),resimobinum,1,US
84,SS1608750563425,character(0),abroadexp,No,US
85,SS1608750563425,character(0),overseaexpnum,One experience,US
86,SS1608750563425,character(0),firstlanguage,Yes,US
87,SS1608750563425,character(0),monolingual,"No, just English",US
88,SS1608750563425,character(0),targetlanguage,No,US
89,SS1608750563425,character(0),objectiveses,"One or more years of college, no degree",US
90,SS1608750563425,character(0),subjectiveses,5,US
91,SS1608759071639,character(0),zipcode,68,US
92,SS1608759071639,character(0),resimobinum,4,US
93,SS1608759071639,character(0),abroadexp,No,US
94,SS1608759071639,character(0),overseaexpnum,Six or more experiences,US
95,SS1608759071639,character(0),firstlanguage,Yes,US
96,SS1608759071639,character(0),monolingual,"No, just English",US
97,SS1608759071639,character(0),targetlanguage,Yes,US
98,SS1608759071639,character(0),objectiveses,High school graduate/GED,US
99,SS1608759071639,character(0),subjectiveses,9,US
100,SS1608764841871,character(0),zipcode,948,US
101,SS1608764841871,character(0),resimobinum,1,US
102,SS1608764841871,character(0),abroadexp,No,US
103,SS1608764841871,character(0),overseaexpnum,Three to five experiences,US
104,SS1608764841871,character(0),firstlanguage,Yes,US
105,SS1608764841871,character(0),monolingual,"Yes, I am multilingual",US
106,SS1608764841871,character(0),targetlanguage,Yes,US
107,SS1608764841871,character(0),objectiveses,"One or more years of college, no degree",US
108,SS1608764841871,character(0),subjectiveses,7,US
109,SS1608764844416,character(0),zipcode,986,US
110,SS1608764844416,character(0),resimobinum,3,US
111,SS1608764844416,character(0),abroadexp,No,US
112,SS1608764844416,character(0),overseaexpnum,Six or more experiences,US
113,SS1608764844416,character(0),firstlanguage,Yes,US
114,SS1608764844416,character(0),monolingual,"No, just English",US
115,SS1608764844416,character(0),targetlanguage,No,US
116,SS1608764844416,character(0),objectiveses,"One or more years of college, no degree",US
117,SS1608764844416,character(0),subjectiveses,6,US
118,SS1608764928854,character(0),zipcode,112,US
119,SS1608764928854,character(0),resimobinum,4,US
120,SS1608764928854,character(0),abroadexp,No,US
121,SS1608764928854,character(0),overseaexpnum,Six or more experiences,US
122,SS1608764928854,character(0),firstlanguage,Yes,US
123,SS1608764928854,character(0),monolingual,"Yes, I am multilingual",US
124,SS1608764928854,character(0),targetlanguage,No,US
125,SS1608764928854,character(0),objectiveses,"One or more years of college, no degree",US
126,SS1608764928854,character(0),subjectiveses,6,US
127,SS1608765105161,character(0),zipcode,917,US
128,SS1608765105161,character(0),resimobinum,5,US
129,SS1608765105161,character(0),abroadexp,No,US
130,SS1608765105161,character(0),overseaexpnum,No experiences,US
131,SS1608765105161,character(0),firstlanguage,Yes,US
132,SS1608765105161,character(0),monolingual,"Yes, I am multilingual",US
133,SS1608765105161,character(0),targetlanguage,No,US
134,SS1608765105161,character(0),objectiveses,"One or more years of college, no degree",US
135,SS1608765105161,character(0),subjectiveses,4,US
136,SS1608765292402,character(0),zipcode,914,US
137,SS1608765292402,character(0),resimobinum,1,US
138,SS1608765292402,character(0),abroadexp,No,US
139,SS1608765292402,character(0),overseaexpnum,Three to five experiences,US
140,SS1608765292402,character(0),firstlanguage,Yes,US
141,SS1608765292402,character(0),monolingual,"No, just English",US
142,SS1608765292402,character(0),targetlanguage,No,US
143,SS1608765292402,character(0),objectiveses,"One or more years of college, no degree",US
144,SS1608765292402,character(0),subjectiveses,4,US
145,SS1608765554635,character(0),zipcode,917,US
146,SS1608765554635,character(0),resimobinum,1,US
147,SS1608765554635,character(0),abroadexp,No,US
148,SS1608765554635,character(0),overseaexpnum,No experiences,US
149,SS1608765554635,character(0),firstlanguage,Yes,US
150,SS1608765554635,character(0),monolingual,"Yes, I am multilingual",US
151,SS1608765554635,character(0),targetlanguage,Yes,US
152,SS1608765554635,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
153,SS1608765554635,character(0),subjectiveses,7,US
154,SS1608765717953,character(0),zipcode,943,US
155,SS1608765717953,character(0),resimobinum,5,US
156,SS1608765717953,character(0),abroadexp,No,US
157,SS1608765717953,character(0),overseaexpnum,Six or more experiences,US
158,SS1608765717953,character(0),firstlanguage,Yes,US
159,SS1608765717953,character(0),monolingual,"No, just English",US
160,SS1608765717953,character(0),targetlanguage,No,US
161,SS1608765717953,character(0),objectiveses,"One or more years of college, no degree",US
162,SS1608765717953,character(0),subjectiveses,6,US
163,SS1608766095260,character(0),zipcode,100,US
164,SS1608766095260,character(0),resimobinum,1,US
165,SS1608766095260,character(0),abroadexp,No,US
166,SS1608766095260,character(0),overseaexpnum,Three to five experiences,US
167,SS1608766095260,character(0),firstlanguage,Yes,US
168,SS1608766095260,character(0),monolingual,"No, just English",US
169,SS1608766095260,character(0),targetlanguage,Yes,US
170,SS1608766095260,character(0),objectiveses,"One or more years of college, no degree",US
171,SS1608766095260,character(0),subjectiveses,10,US
172,SS1608766593457,character(0),zipcode,605,US
173,SS1608766593457,character(0),resimobinum,2,US
174,SS1608766593457,character(0),abroadexp,No,US
175,SS1608766593457,character(0),overseaexpnum,Six or more experiences,US
176,SS1608766593457,character(0),firstlanguage,Yes,US
177,SS1608766593457,character(0),monolingual,"No, just English",US
178,SS1608766593457,character(0),targetlanguage,No,US
179,SS1608766593457,character(0),objectiveses,High school graduate/GED,US
180,SS1608766593457,character(0),subjectiveses,4,US
181,SS1608766617789,character(0),zipcode,944,US
182,SS1608766617789,character(0),resimobinum,2,US
183,SS1608766617789,character(0),abroadexp,No,US
184,SS1608766617789,character(0),overseaexpnum,Three to five experiences,US
185,SS1608766617789,character(0),firstlanguage,Yes,US
186,SS1608766617789,character(0),monolingual,"Yes, I am multilingual",US
187,SS1608766617789,character(0),targetlanguage,Yes,US
188,SS1608766617789,character(0),objectiveses,High school graduate/GED,US
189,SS1608766617789,character(0),subjectiveses,7,US
190,SS1608766942272,character(0),zipcode,905,US
191,SS1608766942272,character(0),resimobinum,6,US
192,SS1608766942272,character(0),abroadexp,No,US
193,SS1608766942272,character(0),overseaexpnum,Six or more experiences,US
194,SS1608766942272,character(0),firstlanguage,Yes,US
195,SS1608766942272,character(0),monolingual,"Yes, I am multilingual",US
196,SS1608766942272,character(0),targetlanguage,No,US
197,SS1608766942272,character(0),objectiveses,High school graduate/GED,US
198,SS1608766942272,character(0),subjectiveses,3,US
199,SS1608767257570,character(0),zipcode,801,US
200,SS1608767257570,character(0),resimobinum,2,US
201,SS1608767257570,character(0),abroadexp,No,US
202,SS1608767257570,character(0),overseaexpnum,Three to five experiences,US
203,SS1608767257570,character(0),firstlanguage,Yes,US
204,SS1608767257570,character(0),monolingual,"No, just English",US
205,SS1608767257570,character(0),targetlanguage,No,US
206,SS1608767257570,character(0),objectiveses,"One or more years of college, no degree",US
207,SS1608767257570,character(0),subjectiveses,7,US
208,SS1608768789316,character(0),zipcode,951,US
209,SS1608768789316,character(0),resimobinum,2,US
210,SS1608768789316,character(0),abroadexp,No,US
211,SS1608768789316,character(0),overseaexpnum,Six or more experiences,US
212,SS1608768789316,character(0),firstlanguage,Yes,US
213,SS1608768789316,character(0),monolingual,"Yes, I am multilingual",US
214,SS1608768789316,character(0),targetlanguage,Yes,US
215,SS1608768789316,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
216,SS1608768789316,character(0),subjectiveses,9,US
217,SS1608770272900,character(0),zipcode,346,US
218,SS1608770272900,character(0),resimobinum,2,US
219,SS1608770272900,character(0),abroadexp,No,US
220,SS1608770272900,character(0),overseaexpnum,Six or more experiences,US
221,SS1608770272900,character(0),firstlanguage,Yes,US
222,SS1608770272900,character(0),monolingual,"Yes, I am multilingual",US
223,SS1608770272900,character(0),targetlanguage,No,US
224,SS1608770272900,character(0),objectiveses,"One or more years of college, no degree",US
225,SS1608770272900,character(0),subjectiveses,4,US
226,SS1608771762929,character(0),zipcode,940,US
227,SS1608771762929,character(0),resimobinum,1,US
228,SS1608771762929,character(0),abroadexp,No,US
229,SS1608771762929,character(0),overseaexpnum,Six or more experiences,US
230,SS1608771762929,character(0),firstlanguage,Yes,US
231,SS1608771762929,character(0),monolingual,"Yes, I am multilingual",US
232,SS1608771762929,character(0),targetlanguage,Yes,US
233,SS1608771762929,character(0),objectiveses,At least some graduate school,US
234,SS1608771762929,character(0),subjectiveses,9,US
235,SS1608773085433,character(0),zipcode,943,US
236,SS1608773085433,character(0),resimobinum,9,US
237,SS1608773085433,character(0),abroadexp,No,US
238,SS1608773085433,character(0),overseaexpnum,Six or more experiences,US
239,SS1608773085433,character(0),firstlanguage,Yes,US
240,SS1608773085433,character(0),monolingual,"No, just English",US
241,SS1608773085433,character(0),targetlanguage,No,US
242,SS1608773085433,character(0),objectiveses,Some high school,US
243,SS1608773085433,character(0),subjectiveses,6,US
244,SS1608774634252,character(0),zipcode,761,US
245,SS1608774634252,character(0),resimobinum,3,US
246,SS1608774634252,character(0),abroadexp,No,US
247,SS1608774634252,character(0),overseaexpnum,Two experiences,US
248,SS1608774634252,character(0),firstlanguage,Yes,US
249,SS1608774634252,character(0),monolingual,"Yes, I am multilingual",US
250,SS1608774634252,character(0),targetlanguage,No,US
251,SS1608774634252,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
252,SS1608774634252,character(0),subjectiveses,3,US
253,SS1608775395629,character(0),zipcode,76,US
254,SS1608775395629,character(0),resimobinum,2,US
255,SS1608775395629,character(0),abroadexp,No,US
256,SS1608775395629,character(0),overseaexpnum,Six or more experiences,US
257,SS1608775395629,character(0),firstlanguage,Yes,US
258,SS1608775395629,character(0),monolingual,"No, just English",US
259,SS1608775395629,character(0),targetlanguage,No,US
260,SS1608775395629,character(0),objectiveses,"One or more years of college, no degree",US
261,SS1608775395629,character(0),subjectiveses,8,US
262,SS1608775531570,character(0),zipcode,911,US
263,SS1608775531570,character(0),resimobinum,2,US
264,SS1608775531570,character(0),abroadexp,No,US
265,SS1608775531570,character(0),overseaexpnum,Six or more experiences,US
266,SS1608775531570,character(0),firstlanguage,Yes,US
267,SS1608775531570,character(0),monolingual,"No, just English",US
268,SS1608775531570,character(0),targetlanguage,No,US
269,SS1608775531570,character(0),objectiveses,"One or more years of college, no degree",US
270,SS1608775531570,character(0),subjectiveses,9,US
271,SS1608775703963,character(0),zipcode,936,US
272,SS1608775703963,character(0),resimobinum,4,US
273,SS1608775703963,character(0),abroadexp,No,US
274,SS1608775703963,character(0),overseaexpnum,Two experiences,US
275,SS1608775703963,character(0),firstlanguage,Yes,US
276,SS1608775703963,character(0),monolingual,"No, just English",US
277,SS1608775703963,character(0),targetlanguage,No,US
278,SS1608775703963,character(0),objectiveses,Two-year college degree/vocational school,US
279,SS1608775703963,character(0),subjectiveses,5,US
280,SS1608781013661,character(0),zipcode,,US
281,SS1608781013661,character(0),resimobinum,3,US
282,SS1608781013661,character(0),abroadexp,No,US
283,SS1608781013661,character(0),overseaexpnum,Six or more experiences,US
284,SS1608781013661,character(0),firstlanguage,Yes,US
285,SS1608781013661,character(0),monolingual,"No, just English",US
286,SS1608781013661,character(0),targetlanguage,No,US
287,SS1608781013661,character(0),objectiveses,"One or more years of college, no degree",US
288,SS1608781013661,character(0),subjectiveses,8,US
289,SS1608785426067,character(0),zipcode,940,US
290,SS1608785426067,character(0),resimobinum,9,US
291,SS1608785426067,character(0),abroadexp,No,US
292,SS1608785426067,character(0),overseaexpnum,Six or more experiences,US
293,SS1608785426067,character(0),firstlanguage,Yes,US
294,SS1608785426067,character(0),monolingual,"No, just English",US
295,SS1608785426067,character(0),targetlanguage,No,US
296,SS1608785426067,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
297,SS1608785426067,character(0),subjectiveses,9,US
298,SS1608787713278,character(0),zipcode,24,US
299,SS1608787713278,character(0),resimobinum,8,US
300,SS1608787713278,character(0),abroadexp,No,US
301,SS1608787713278,character(0),overseaexpnum,Six or more experiences,US
302,SS1608787713278,character(0),firstlanguage,Yes,US
303,SS1608787713278,character(0),monolingual,"No, just English",US
304,SS1608787713278,character(0),targetlanguage,No,US
305,SS1608787713278,character(0),objectiveses,"One or more years of college, no degree",US
306,SS1608787713278,character(0),subjectiveses,7,US
307,SS1608788427161,character(0),zipcode,917,US
308,SS1608788427161,character(0),resimobinum,1,US
309,SS1608788427161,character(0),abroadexp,No,US
310,SS1608788427161,character(0),overseaexpnum,Two experiences,US
311,SS1608788427161,character(0),firstlanguage,Yes,US
312,SS1608788427161,character(0),monolingual,"Yes, I am multilingual",US
313,SS1608788427161,character(0),targetlanguage,No,US
314,SS1608788427161,character(0),objectiveses,"One or more years of college, no degree",US
315,SS1608788427161,character(0),subjectiveses,7,US
316,SS1608788987298,character(0),zipcode,770,US
317,SS1608788987298,character(0),resimobinum,1,US
318,SS1608788987298,character(0),abroadexp,No,US
319,SS1608788987298,character(0),overseaexpnum,Six or more experiences,US
320,SS1608788987298,character(0),firstlanguage,Yes,US
321,SS1608788987298,character(0),monolingual,"Yes, I am multilingual",US
322,SS1608788987298,character(0),targetlanguage,Yes,US
323,SS1608788987298,character(0),objectiveses,High school graduate/GED,US
324,SS1608788987298,character(0),subjectiveses,8,US
325,SS1608790005674,character(0),zipcode,917,US
326,SS1608790005674,character(0),resimobinum,2,US
327,SS1608790005674,character(0),abroadexp,No,US
328,SS1608790005674,character(0),overseaexpnum,Two experiences,US
329,SS1608790005674,character(0),firstlanguage,Yes,US
330,SS1608790005674,character(0),monolingual,"No, just English",US
331,SS1608790005674,character(0),targetlanguage,No,US
332,SS1608790005674,character(0),objectiveses,Two-year college degree/vocational school,US
333,SS1608790005674,character(0),subjectiveses,7,US
334,SS1608790890814,character(0),zipcode,805,US
335,SS1608790890814,character(0),resimobinum,2,US
336,SS1608790890814,character(0),abroadexp,No,US
337,SS1608790890814,character(0),overseaexpnum,Three to five experiences,US
338,SS1608790890814,character(0),firstlanguage,Yes,US
339,SS1608790890814,character(0),monolingual,"Yes, I am multilingual",US
340,SS1608790890814,character(0),targetlanguage,Yes,US
341,SS1608790890814,character(0),objectiveses,"One or more years of college, no degree",US
342,SS1608790890814,character(0),subjectiveses,6,US
343,SS1608791220883,character(0),zipcode,,US
344,SS1608791220883,character(0),resimobinum,4,US
345,SS1608791220883,character(0),abroadexp,No,US
346,SS1608791220883,character(0),overseaexpnum,Six or more experiences,US
347,SS1608791220883,character(0),firstlanguage,Yes,US
348,SS1608791220883,character(0),monolingual,"Yes, I am multilingual",US
349,SS1608791220883,character(0),targetlanguage,No,US
350,SS1608791220883,character(0),objectiveses,At least some graduate school,US
351,SS1608791220883,character(0),subjectiveses,6,US
352,SS1608792549625,character(0),zipcode,361,US
353,SS1608792549625,character(0),resimobinum,2,US
354,SS1608792549625,character(0),abroadexp,No,US
355,SS1608792549625,character(0),overseaexpnum,Six or more experiences,US
356,SS1608792549625,character(0),firstlanguage,Yes,US
357,SS1608792549625,character(0),monolingual,"No, just English",US
358,SS1608792549625,character(0),targetlanguage,No,US
359,SS1608792549625,character(0),objectiveses,"One or more years of college, no degree",US
360,SS1608792549625,character(0),subjectiveses,6,US
361,SS1608794984596,"c(""North America"", ""Europe"")",zipcode,,US
362,SS1608794984596,"c(""North America"", ""Europe"")",resimobinum,7,US
363,SS1608794984596,"c(""North America"", ""Europe"")",abroadexp,Yes,US
364,SS1608794984596,"c(""North America"", ""Europe"")",overseaexpnum,Six or more experiences,US
365,SS1608794984596,"c(""North America"", ""Europe"")",firstlanguage,Yes,US
366,SS1608794984596,"c(""North America"", ""Europe"")",monolingual,"Yes, I am multilingual",US
367,SS1608794984596,"c(""North America"", ""Europe"")",targetlanguage,No,US
368,SS1608794984596,"c(""North America"", ""Europe"")",objectiveses,"One or more years of college, no degree",US
369,SS1608794984596,"c(""North America"", ""Europe"")",subjectiveses,7,US
370,SS1608797392775,character(0),zipcode,921,US
371,SS1608797392775,character(0),resimobinum,1,US
372,SS1608797392775,character(0),abroadexp,No,US
373,SS1608797392775,character(0),overseaexpnum,Two experiences,US
374,SS1608797392775,character(0),firstlanguage,Yes,US
375,SS1608797392775,character(0),monolingual,"Yes, I am multilingual",US
376,SS1608797392775,character(0),targetlanguage,No,US
377,SS1608797392775,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
378,SS1608797392775,character(0),subjectiveses,7,US
379,SS1608813710413,character(0),zipcode,943,US
380,SS1608813710413,character(0),resimobinum,1,US
381,SS1608813710413,character(0),abroadexp,No,US
382,SS1608813710413,character(0),overseaexpnum,Six or more experiences,US
383,SS1608813710413,character(0),firstlanguage,Yes,US
384,SS1608813710413,character(0),monolingual,"Yes, I am multilingual",US
385,SS1608813710413,character(0),targetlanguage,No,US
386,SS1608813710413,character(0),objectiveses,"One or more years of college, no degree",US
387,SS1608813710413,character(0),subjectiveses,10,US
388,SS1608817521759,character(0),zipcode,79,US
389,SS1608817521759,character(0),resimobinum,2,US
390,SS1608817521759,character(0),abroadexp,No,US
391,SS1608817521759,character(0),overseaexpnum,Six or more experiences,US
392,SS1608817521759,character(0),firstlanguage,Yes,US
393,SS1608817521759,character(0),monolingual,"Yes, I am multilingual",US
394,SS1608817521759,character(0),targetlanguage,Yes,US
395,SS1608817521759,character(0),objectiveses,"One or more years of college, no degree",US
396,SS1608817521759,character(0),subjectiveses,8,US
397,SS1608831660664,character(0),zipcode,209,US
398,SS1608831660664,character(0),resimobinum,5,US
399,SS1608831660664,character(0),abroadexp,No,US
400,SS1608831660664,character(0),overseaexpnum,One experience,US
401,SS1608831660664,character(0),firstlanguage,Yes,US
402,SS1608831660664,character(0),monolingual,"Yes, I am multilingual",US
403,SS1608831660664,character(0),targetlanguage,No,US
404,SS1608831660664,character(0),objectiveses,High school graduate/GED,US
405,SS1608831660664,character(0),subjectiveses,3,US
406,SS1608833527308,character(0),zipcode,947,US
407,SS1608833527308,character(0),resimobinum,1,US
408,SS1608833527308,character(0),abroadexp,No,US
409,SS1608833527308,character(0),overseaexpnum,Six or more experiences,US
410,SS1608833527308,character(0),firstlanguage,Yes,US
411,SS1608833527308,character(0),monolingual,"Yes, I am multilingual",US
412,SS1608833527308,character(0),targetlanguage,Yes,US
413,SS1608833527308,character(0),objectiveses,At least some graduate school,US
414,SS1608833527308,character(0),subjectiveses,7,US
415,SS1608834401052,character(0),zipcode,76,US
416,SS1608834401052,character(0),resimobinum,1,US
417,SS1608834401052,character(0),abroadexp,No,US
418,SS1608834401052,character(0),overseaexpnum,Two experiences,US
419,SS1608834401052,character(0),firstlanguage,Yes,US
420,SS1608834401052,character(0),monolingual,"No, just English",US
421,SS1608834401052,character(0),targetlanguage,No,US
422,SS1608834401052,character(0),objectiveses,"One or more years of college, no degree",US
423,SS1608834401052,character(0),subjectiveses,6,US
424,SS1608836302253,character(0),zipcode,940,US
425,SS1608836302253,character(0),resimobinum,1,US
426,SS1608836302253,character(0),abroadexp,No,US
427,SS1608836302253,character(0),overseaexpnum,Six or more experiences,US
428,SS1608836302253,character(0),firstlanguage,Yes,US
429,SS1608836302253,character(0),monolingual,"No, just English",US
430,SS1608836302253,character(0),targetlanguage,Yes,US
431,SS1608836302253,character(0),objectiveses,"One or more years of college, no degree",US
432,SS1608836302253,character(0),subjectiveses,9,US
433,SS1608839691941,Africa,zipcode,750,US
434,SS1608839691941,Africa,resimobinum,2,US
435,SS1608839691941,Africa,abroadexp,Yes,US
436,SS1608839691941,Africa,overseaexpnum,Two experiences,US
437,SS1608839691941,Africa,firstlanguage,No,US
438,SS1608839691941,Africa,monolingual,"Yes, I am multilingual",US
439,SS1608839691941,Africa,targetlanguage,No,US
440,SS1608839691941,Africa,objectiveses,High school graduate/GED,US
441,SS1608839691941,Africa,subjectiveses,4,US
442,SS1608840412635,character(0),zipcode,993,US
443,SS1608840412635,character(0),resimobinum,5,US
444,SS1608840412635,character(0),abroadexp,No,US
445,SS1608840412635,character(0),overseaexpnum,No experiences,US
446,SS1608840412635,character(0),firstlanguage,Yes,US
447,SS1608840412635,character(0),monolingual,"No, just English",US
448,SS1608840412635,character(0),targetlanguage,No,US
449,SS1608840412635,character(0),objectiveses,"One or more years of college, no degree",US
450,SS1608840412635,character(0),subjectiveses,3,US
451,SS1608842254932,character(0),zipcode,605,US
452,SS1608842254932,character(0),resimobinum,4,US
453,SS1608842254932,character(0),abroadexp,No,US
454,SS1608842254932,character(0),overseaexpnum,Six or more experiences,US
455,SS1608842254932,character(0),firstlanguage,Yes,US
456,SS1608842254932,character(0),monolingual,"Yes, I am multilingual",US
457,SS1608842254932,character(0),targetlanguage,Yes,US
458,SS1608842254932,character(0),objectiveses,High school graduate/GED,US
459,SS1608842254932,character(0),subjectiveses,7,US
460,SS1608843808592,character(0),zipcode,945,US
461,SS1608843808592,character(0),resimobinum,1,US
462,SS1608843808592,character(0),abroadexp,No,US
463,SS1608843808592,character(0),overseaexpnum,Two experiences,US
464,SS1608843808592,character(0),firstlanguage,Yes,US
465,SS1608843808592,character(0),monolingual,"No, just English",US
466,SS1608843808592,character(0),targetlanguage,No,US
467,SS1608843808592,character(0),objectiveses,High school graduate/GED,US
468,SS1608843808592,character(0),subjectiveses,7,US
469,SS1608846102155,character(0),zipcode,904,US
470,SS1608846102155,character(0),resimobinum,2,US
471,SS1608846102155,character(0),abroadexp,No,US
472,SS1608846102155,character(0),overseaexpnum,Three to five experiences,US
473,SS1608846102155,character(0),firstlanguage,Yes,US
474,SS1608846102155,character(0),monolingual,"No, just English",US
475,SS1608846102155,character(0),targetlanguage,No,US
476,SS1608846102155,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
477,SS1608846102155,character(0),subjectiveses,6,US
478,SS1608850322225,character(0),zipcode,981,US
479,SS1608850322225,character(0),resimobinum,2,US
480,SS1608850322225,character(0),abroadexp,No,US
481,SS1608850322225,character(0),overseaexpnum,Three to five experiences,US
482,SS1608850322225,character(0),firstlanguage,Yes,US
483,SS1608850322225,character(0),monolingual,"Yes, I am multilingual",US
484,SS1608850322225,character(0),targetlanguage,Yes,US
485,SS1608850322225,character(0),objectiveses,"One or more years of college, no degree",US
486,SS1608850322225,character(0),subjectiveses,7,US
487,SS1608853349801,character(0),zipcode,853,US
488,SS1608853349801,character(0),resimobinum,1,US
489,SS1608853349801,character(0),abroadexp,No,US
490,SS1608853349801,character(0),overseaexpnum,Three to five experiences,US
491,SS1608853349801,character(0),firstlanguage,Yes,US
492,SS1608853349801,character(0),monolingual,"Yes, I am multilingual",US
493,SS1608853349801,character(0),targetlanguage,No,US
494,SS1608853349801,character(0),objectiveses,High school graduate/GED,US
495,SS1608853349801,character(0),subjectiveses,4,US
496,SS1608858288834,character(0),zipcode,680,US
497,SS1608858288834,character(0),resimobinum,2,US
498,SS1608858288834,character(0),abroadexp,No,US
499,SS1608858288834,character(0),overseaexpnum,Three to five experiences,US
500,SS1608858288834,character(0),firstlanguage,No,US
501,SS1608858288834,character(0),monolingual,"No, just English",US
502,SS1608858288834,character(0),targetlanguage,Yes,US
503,SS1608858288834,character(0),objectiveses,"One or more years of college, no degree",US
504,SS1608858288834,character(0),subjectiveses,8,US
505,SS1608863463604,character(0),zipcode,480,US
506,SS1608863463604,character(0),resimobinum,2,US
507,SS1608863463604,character(0),abroadexp,No,US
508,SS1608863463604,character(0),overseaexpnum,Three to five experiences,US
509,SS1608863463604,character(0),firstlanguage,Yes,US
510,SS1608863463604,character(0),monolingual,"Yes, I am multilingual",US
