subject,culture,demog_question,demog_response
SS1651545123067,CN,lang_ud,6
SS1651545123067,CN,subjectiveses,7
SS1651545123067,CN,currentcollege,否
SS1651545123067,CN,selfeducation,四年/五年制大学本科学位
SS1651545123067,CN,stem_or_not,否
SS1651545123067,CN,which_regions,NA
SS1651545188145,CN,zipcode,2140
SS1651545188145,CN,resimobinum,3
SS1651545188145,CN,abroadexp,否
SS1651545188145,CN,overseaexpnum,没有国际经历
SS1651545188145,CN,firstlanguage,是
SS1651545188145,CN,monolingual,不，我只说中文
SS1651545188145,CN,targetlanguage,能
SS1651545188145,CN,lang_sp,3
SS1651545188145,CN,lang_ud,6
SS1651545188145,CN,subjectiveses,4
SS1651545188145,CN,currentcollege,是
SS1651545188145,CN,selfeducation,四年/五年制大学本科学位
SS1651545188145,CN,stem_or_not,是
SS1651545188145,CN,which_regions,NA
SS1651545279588,CN,zipcode,2100
SS1651545279588,CN,resimobinum,5
SS1651545279588,CN,abroadexp,否
SS1651545279588,CN,overseaexpnum,没有国际经历
SS1651545279588,CN,firstlanguage,是
SS1651545279588,CN,monolingual,不，我只说中文
SS1651545279588,CN,targetlanguage,能
SS1651545279588,CN,lang_sp,8
SS1651545279588,CN,lang_ud,7
SS1651545279588,CN,subjectiveses,4
SS1651545279588,CN,currentcollege,是
SS1651545279588,CN,selfeducation,四年/五年制大学本科学位
SS1651545279588,CN,stem_or_not,否
SS1651545279588,CN,which_regions,NA
SS1651545285513,CN,zipcode,
SS1651545285513,CN,resimobinum,4
SS1651545285513,CN,abroadexp,否
SS1651545285513,CN,overseaexpnum,一段国际经历
SS1651545285513,CN,firstlanguage,是
SS1651545285513,CN,monolingual,是，我是多语者
SS1651545285513,CN,targetlanguage,能
SS1651545285513,CN,lang_sp,10
SS1651545285513,CN,lang_ud,10
SS1651545285513,CN,subjectiveses,5
SS1651545285513,CN,currentcollege,是
SS1651545285513,CN,selfeducation,四年/五年制大学本科学位
SS1651545285513,CN,stem_or_not,是
SS1651545285513,CN,which_regions,NA
SS1651545357097,CN,zipcode,2561
SS1651545357097,CN,resimobinum,0
SS1651545357097,CN,abroadexp,否
SS1651545357097,CN,overseaexpnum,没有国际经历
SS1651545357097,CN,firstlanguage,是
SS1651545357097,CN,monolingual,不，我只说中文
SS1651545357097,CN,targetlanguage,不能
SS1651545357097,CN,lang_sp,NA
SS1651545357097,CN,lang_ud,NA
SS1651545357097,CN,subjectiveses,7
SS1651545357097,CN,currentcollege,是
SS1651545357097,CN,selfeducation,大专学历
SS1651545357097,CN,stem_or_not,是
SS1651545357097,CN,which_regions,NA
SS1651545751233,CN,zipcode,6528
SS1651545751233,CN,resimobinum,3
SS1651545751233,CN,abroadexp,否
SS1651545751233,CN,overseaexpnum,没有国际经历
SS1651545751233,CN,firstlanguage,是
SS1651545751233,CN,monolingual,不，我只说中文
SS1651545751233,CN,targetlanguage,能
SS1651545751233,CN,lang_sp,4
SS1651545751233,CN,lang_ud,3
SS1651545751233,CN,subjectiveses,5
SS1651545751233,CN,currentcollege,是
SS1651545751233,CN,selfeducation,四年/五年制大学本科学位
SS1651545751233,CN,stem_or_not,否
SS1651545751233,CN,which_regions,NA
SS1651546122639,CN,zipcode,5530
SS1651546122639,CN,resimobinum,3
SS1651546122639,CN,abroadexp,否
SS1651546122639,CN,overseaexpnum,没有国际经历
SS1651546122639,CN,firstlanguage,是
SS1651546122639,CN,monolingual,是，我是多语者
SS1651546122639,CN,targetlanguage,能
SS1651546122639,CN,lang_sp,3
SS1651546122639,CN,lang_ud,7
SS1651546122639,CN,subjectiveses,4
SS1651546122639,CN,currentcollege,否
SS1651546122639,CN,selfeducation,有过一些研究生经历
SS1651546122639,CN,stem_or_not,是
SS1651546122639,CN,which_regions,NA
SS1651546827542,CN,zipcode,3300
SS1651546827542,CN,resimobinum,1
SS1651546827542,CN,abroadexp,否
SS1651546827542,CN,overseaexpnum,没有国际经历
SS1651546827542,CN,firstlanguage,是
SS1651546827542,CN,monolingual,不，我只说中文
SS1651546827542,CN,targetlanguage,能
SS1651546827542,CN,lang_sp,6
SS1651546827542,CN,lang_ud,6
SS1651546827542,CN,subjectiveses,7
SS1651546827542,CN,currentcollege,是
SS1651546827542,CN,selfeducation,四年/五年制大学本科学位
SS1651546827542,CN,stem_or_not,是
SS1651546827542,CN,which_regions,NA
SS1651546915326,CN,zipcode,2013
SS1651546915326,CN,resimobinum,1
SS1651546915326,CN,abroadexp,否
SS1651546915326,CN,overseaexpnum,没有国际经历
SS1651546915326,CN,firstlanguage,是
SS1651546915326,CN,monolingual,是，我是多语者
SS1651546915326,CN,targetlanguage,能
SS1651546915326,CN,lang_sp,6
SS1651546915326,CN,lang_ud,7
SS1651546915326,CN,subjectiveses,7
SS1651546915326,CN,currentcollege,是
SS1651546915326,CN,selfeducation,四年/五年制大学本科学位
SS1651546915326,CN,stem_or_not,否
SS1651546915326,CN,which_regions,NA
SS1651547162777,CN,zipcode,3410
SS1651547162777,CN,resimobinum,2
SS1651547162777,CN,abroadexp,否
SS1651547162777,CN,overseaexpnum,没有国际经历
SS1651547162777,CN,firstlanguage,是
SS1651547162777,CN,monolingual,不，我只说中文
SS1651547162777,CN,targetlanguage,能
SS1651547162777,CN,lang_sp,10
SS1651547162777,CN,lang_ud,9
SS1651547162777,CN,subjectiveses,3
SS1651547162777,CN,currentcollege,是
SS1651547162777,CN,selfeducation,四年/五年制大学本科学位
SS1651547162777,CN,stem_or_not,是
SS1651547162777,CN,which_regions,NA
SS1651548143005,CN,zipcode,0500
SS1651548143005,CN,resimobinum,3
SS1651548143005,CN,abroadexp,否
SS1651548143005,CN,overseaexpnum,没有国际经历
SS1651548143005,CN,firstlanguage,是
SS1651548143005,CN,monolingual,是，我是多语者
SS1651548143005,CN,targetlanguage,能
SS1651548143005,CN,lang_sp,8
SS1651548143005,CN,lang_ud,10
SS1651548143005,CN,subjectiveses,9
SS1651548143005,CN,currentcollege,是
SS1651548143005,CN,selfeducation,四年/五年制大学本科学位
SS1651548143005,CN,stem_or_not,是
SS1651548143005,CN,which_regions,NA
SS1651552135862,CN,zipcode,3313
SS1651552135862,CN,resimobinum,2
SS1651552135862,CN,abroadexp,否
SS1651552135862,CN,overseaexpnum,没有国际经历
SS1651552135862,CN,firstlanguage,是
SS1651552135862,CN,monolingual,不，我只说中文
SS1651552135862,CN,targetlanguage,能
SS1651552135862,CN,lang_sp,5
SS1651552135862,CN,lang_ud,8
SS1651552135862,CN,subjectiveses,4
SS1651552135862,CN,currentcollege,否
SS1651552135862,CN,selfeducation,有过一些研究生经历
SS1651552135862,CN,stem_or_not,是
SS1651552135862,CN,which_regions,NA
SS1651552362039,CN,zipcode,3300
SS1651552362039,CN,resimobinum,3
SS1651552362039,CN,abroadexp,否
SS1651552362039,CN,overseaexpnum,没有国际经历
SS1651552362039,CN,firstlanguage,是
SS1651552362039,CN,monolingual,不，我只说中文
SS1651552362039,CN,targetlanguage,能
SS1651552362039,CN,lang_sp,1
SS1651552362039,CN,lang_ud,2
SS1651552362039,CN,subjectiveses,6
SS1651552362039,CN,currentcollege,是
SS1651552362039,CN,selfeducation,四年/五年制大学本科学位
SS1651552362039,CN,stem_or_not,否
SS1651552362039,CN,which_regions,NA
SS1651552837542,CN,zipcode,0500
SS1651552837542,CN,resimobinum,2
SS1651552837542,CN,abroadexp,否
SS1651552837542,CN,overseaexpnum,没有国际经历
SS1651552837542,CN,firstlanguage,是
SS1651552837542,CN,monolingual,不，我只说中文
SS1651552837542,CN,targetlanguage,能
SS1651552837542,CN,lang_sp,3
SS1651552837542,CN,lang_ud,4
SS1651552837542,CN,subjectiveses,6
SS1651552837542,CN,currentcollege,是
SS1651552837542,CN,selfeducation,四年/五年制大学本科学位
SS1651552837542,CN,stem_or_not,是
SS1651552837542,CN,which_regions,NA
SS1651553474432,CN,zipcode,047600
SS1651553474432,CN,resimobinum,2
SS1651553474432,CN,abroadexp,否
SS1651553474432,CN,overseaexpnum,没有国际经历
SS1651553474432,CN,firstlanguage,是
SS1651553474432,CN,monolingual,不，我只说中文
SS1651553474432,CN,targetlanguage,能
SS1651553474432,CN,lang_sp,4
SS1651553474432,CN,lang_ud,3
SS1651553474432,CN,subjectiveses,4
SS1651553474432,CN,currentcollege,是
SS1651553474432,CN,selfeducation,四年/五年制大学本科学位
SS1651553474432,CN,stem_or_not,是
SS1651553474432,CN,which_regions,NA
SS1651553913160,CN,zipcode,0300
SS1651553913160,CN,resimobinum,2
SS1651553913160,CN,abroadexp,否
SS1651553913160,CN,overseaexpnum,没有国际经历
SS1651553913160,CN,firstlanguage,是
SS1651553913160,CN,monolingual,不，我只说中文
SS1651553913160,CN,targetlanguage,能
SS1651553913160,CN,lang_sp,5
SS1651553913160,CN,lang_ud,5
SS1651553913160,CN,subjectiveses,6
SS1651553913160,CN,currentcollege,是
SS1651553913160,CN,selfeducation,四年/五年制大学本科学位
SS1651553913160,CN,stem_or_not,是
SS1651553913160,CN,which_regions,NA
SS1651553969715,CN,zipcode,
SS1651553969715,CN,resimobinum,10
SS1651553969715,CN,abroadexp,否
SS1651553969715,CN,overseaexpnum,没有国际经历
SS1651553969715,CN,firstlanguage,是
SS1651553969715,CN,monolingual,不，我只说中文
SS1651553969715,CN,targetlanguage,不能
SS1651553969715,CN,lang_sp,NA
SS1651553969715,CN,lang_ud,NA
SS1651553969715,CN,subjectiveses,6
SS1651553969715,CN,currentcollege,是
SS1651553969715,CN,selfeducation,四年/五年制大学本科学位
SS1651553969715,CN,stem_or_not,是
SS1651553969715,CN,which_regions,NA
SS1651554145523,CN,zipcode,4670
SS1651554145523,CN,resimobinum,4
SS1651554145523,CN,abroadexp,否
SS1651554145523,CN,overseaexpnum,没有国际经历
SS1651554145523,CN,firstlanguage,是
SS1651554145523,CN,monolingual,不，我只说中文
SS1651554145523,CN,targetlanguage,能
SS1651554145523,CN,lang_sp,6
SS1651554145523,CN,lang_ud,5
SS1651554145523,CN,subjectiveses,3
SS1651554145523,CN,currentcollege,是
SS1651554145523,CN,selfeducation,四年/五年制大学本科学位
SS1651554145523,CN,stem_or_not,是
SS1651554145523,CN,which_regions,NA
SS1651554184228,CN,zipcode,2000
SS1651554184228,CN,resimobinum,3
SS1651554184228,CN,abroadexp,否
SS1651554184228,CN,overseaexpnum,没有国际经历
SS1651554184228,CN,firstlanguage,是
SS1651554184228,CN,monolingual,是，我是多语者
SS1651554184228,CN,targetlanguage,能
SS1651554184228,CN,lang_sp,10
SS1651554184228,CN,lang_ud,8
SS1651554184228,CN,subjectiveses,5
SS1651554184228,CN,currentcollege,是
SS1651554184228,CN,selfeducation,四年/五年制大学本科学位
SS1651554184228,CN,stem_or_not,是
SS1651554184228,CN,which_regions,NA
SS1651554809980,CN,zipcode,51810
SS1651554809980,CN,resimobinum,1
SS1651554809980,CN,abroadexp,否
SS1651554809980,CN,overseaexpnum,三到五段国际经历
SS1651554809980,CN,firstlanguage,是
SS1651554809980,CN,monolingual,是，我是多语者
SS1651554809980,CN,targetlanguage,能
SS1651554809980,CN,lang_sp,5
SS1651554809980,CN,lang_ud,3
SS1651554809980,CN,subjectiveses,5
SS1651554809980,CN,currentcollege,是
SS1651554809980,CN,selfeducation,四年/五年制大学本科学位
SS1651554809980,CN,stem_or_not,否
SS1651554809980,CN,which_regions,NA
SS1651555233128,CN,zipcode,4300
SS1651555233128,CN,resimobinum,3
SS1651555233128,CN,abroadexp,否
SS1651555233128,CN,overseaexpnum,一段国际经历
SS1651555233128,CN,firstlanguage,是
SS1651555233128,CN,monolingual,是，我是多语者
SS1651555233128,CN,targetlanguage,能
SS1651555233128,CN,lang_sp,10
SS1651555233128,CN,lang_ud,10
SS1651555233128,CN,subjectiveses,7
SS1651555233128,CN,currentcollege,是
SS1651555233128,CN,selfeducation,四年/五年制大学本科学位
SS1651555233128,CN,stem_or_not,是
SS1651555233128,CN,which_regions,NA
SS1651559729763,CN,zipcode,4000
SS1651559729763,CN,resimobinum,3
SS1651559729763,CN,abroadexp,否
SS1651559729763,CN,overseaexpnum,一段国际经历
SS1651559729763,CN,firstlanguage,是
SS1651559729763,CN,monolingual,是，我是多语者
SS1651559729763,CN,targetlanguage,能
SS1651559729763,CN,lang_sp,7
SS1651559729763,CN,lang_ud,8
SS1651559729763,CN,subjectiveses,6
SS1651559729763,CN,currentcollege,是
SS1651559729763,CN,selfeducation,四年/五年制大学本科学位
SS1651559729763,CN,stem_or_not,是
SS1651559729763,CN,which_regions,NA
SS1651560025455,CN,zipcode,231400
SS1651560025455,CN,resimobinum,3
SS1651560025455,CN,abroadexp,否
SS1651560025455,CN,overseaexpnum,没有国际经历
SS1651560025455,CN,firstlanguage,是
SS1651560025455,CN,monolingual,是，我是多语者
SS1651560025455,CN,targetlanguage,能
SS1651560025455,CN,lang_sp,6
SS1651560025455,CN,lang_ud,7
SS1651560025455,CN,subjectiveses,3
SS1651560025455,CN,currentcollege,否
SS1651560025455,CN,selfeducation,四年/五年制大学本科学位
SS1651560025455,CN,stem_or_not,否
SS1651560025455,CN,which_regions,NA
SS1651561685665,CN,zipcode,4300
SS1651561685665,CN,resimobinum,6
SS1651561685665,CN,abroadexp,否
SS1651561685665,CN,overseaexpnum,没有国际经历
SS1651561685665,CN,firstlanguage,是
SS1651561685665,CN,monolingual,不，我只说中文
SS1651561685665,CN,targetlanguage,能
SS1651561685665,CN,lang_sp,7
SS1651561685665,CN,lang_ud,3
SS1651561685665,CN,subjectiveses,5
SS1651561685665,CN,currentcollege,是
SS1651561685665,CN,selfeducation,四年/五年制大学本科学位
SS1651561685665,CN,stem_or_not,是
SS1651561685665,CN,which_regions,NA
SS1651562034956,CN,zipcode,2004
SS1651562034956,CN,resimobinum,2
SS1651562034956,CN,abroadexp,否
SS1651562034956,CN,overseaexpnum,没有国际经历
SS1651562034956,CN,firstlanguage,是
SS1651562034956,CN,monolingual,是，我是多语者
SS1651562034956,CN,targetlanguage,能
SS1651562034956,CN,lang_sp,3
SS1651562034956,CN,lang_ud,4
SS1651562034956,CN,subjectiveses,5
SS1651562034956,CN,currentcollege,是
SS1651562034956,CN,selfeducation,四年/五年制大学本科学位
SS1651562034956,CN,stem_or_not,否
SS1651562034956,CN,which_regions,NA
SS1651562868228,CN,zipcode,3003
SS1651562868228,CN,resimobinum,2
SS1651562868228,CN,abroadexp,否
SS1651562868228,CN,overseaexpnum,没有国际经历
SS1651562868228,CN,firstlanguage,是
SS1651562868228,CN,monolingual,不，我只说中文
SS1651562868228,CN,targetlanguage,能
SS1651562868228,CN,lang_sp,3
SS1651562868228,CN,lang_ud,4
SS1651562868228,CN,subjectiveses,5
SS1651562868228,CN,currentcollege,是
SS1651562868228,CN,selfeducation,四年/五年制大学本科学位
SS1651562868228,CN,stem_or_not,是
SS1651562868228,CN,which_regions,NA
SS1651564260438,CN,zipcode,0476
SS1651564260438,CN,resimobinum,3
SS1651564260438,CN,abroadexp,否
SS1651564260438,CN,overseaexpnum,没有国际经历
SS1651564260438,CN,firstlanguage,是
SS1651564260438,CN,monolingual,不，我只说中文
SS1651564260438,CN,targetlanguage,能
SS1651564260438,CN,lang_sp,2
SS1651564260438,CN,lang_ud,1
SS1651564260438,CN,subjectiveses,5
SS1651564260438,CN,currentcollege,是
SS1651564260438,CN,selfeducation,四年/五年制大学本科学位
SS1651564260438,CN,stem_or_not,是
SS1651564260438,CN,which_regions,NA
SS1651564308340,CN,zipcode,0300
SS1651564308340,CN,resimobinum,5
SS1651564308340,CN,abroadexp,否
SS1651564308340,CN,overseaexpnum,一段国际经历
SS1651564308340,CN,firstlanguage,是
SS1651564308340,CN,monolingual,是，我是多语者
SS1651564308340,CN,targetlanguage,能
SS1651564308340,CN,lang_sp,7
SS1651564308340,CN,lang_ud,7
SS1651564308340,CN,subjectiveses,7
SS1651564308340,CN,currentcollege,是
SS1651564308340,CN,selfeducation,四年/五年制大学本科学位
SS1651564308340,CN,stem_or_not,是
SS1651564308340,CN,which_regions,NA
SS1651565828518,CN,zipcode,2640
SS1651565828518,CN,resimobinum,1
SS1651565828518,CN,abroadexp,否
SS1651565828518,CN,overseaexpnum,没有国际经历
SS1651565828518,CN,firstlanguage,是
SS1651565828518,CN,monolingual,是，我是多语者
SS1651565828518,CN,targetlanguage,能
SS1651565828518,CN,lang_sp,3
SS1651565828518,CN,lang_ud,4
SS1651565828518,CN,subjectiveses,3
SS1651565828518,CN,currentcollege,否
SS1651565828518,CN,selfeducation,有过一些研究生经历
SS1651565828518,CN,stem_or_not,否
SS1651565828518,CN,which_regions,NA
SS1651568252846,CN,zipcode,
SS1651568252846,CN,resimobinum,6
SS1651568252846,CN,abroadexp,否
SS1651568252846,CN,overseaexpnum,没有国际经历
SS1651568252846,CN,firstlanguage,是
SS1651568252846,CN,monolingual,是，我是多语者
SS1651568252846,CN,targetlanguage,能
SS1651568252846,CN,lang_sp,6
SS1651568252846,CN,lang_ud,9
SS1651568252846,CN,subjectiveses,6
SS1651568252846,CN,currentcollege,是
SS1651568252846,CN,selfeducation,四年/五年制大学本科学位
SS1651568252846,CN,stem_or_not,是
SS1651568252846,CN,which_regions,NA
SS1651568382617,CN,zipcode,4150
SS1651568382617,CN,resimobinum,3
SS1651568382617,CN,abroadexp,否
SS1651568382617,CN,overseaexpnum,没有国际经历
SS1651568382617,CN,firstlanguage,是
SS1651568382617,CN,monolingual,不，我只说中文
SS1651568382617,CN,targetlanguage,能
SS1651568382617,CN,lang_sp,7
SS1651568382617,CN,lang_ud,6
SS1651568382617,CN,subjectiveses,7
SS1651568382617,CN,currentcollege,是
SS1651568382617,CN,selfeducation,四年/五年制大学本科学位
SS1651568382617,CN,stem_or_not,是
SS1651568382617,CN,which_regions,NA
SS1651568918829,CN,zipcode,4300
SS1651568918829,CN,resimobinum,3
SS1651568918829,CN,abroadexp,否
SS1651568918829,CN,overseaexpnum,两段国际经历
SS1651568918829,CN,firstlanguage,是
SS1651568918829,CN,monolingual,不，我只说中文
SS1651568918829,CN,targetlanguage,能
SS1651568918829,CN,lang_sp,7
SS1651568918829,CN,lang_ud,7
SS1651568918829,CN,subjectiveses,6
SS1651568918829,CN,currentcollege,是
SS1651568918829,CN,selfeducation,四年/五年制大学本科学位
SS1651568918829,CN,stem_or_not,是
SS1651568918829,CN,which_regions,NA
SS1651570752111,CN,zipcode,2660
SS1651570752111,CN,resimobinum,2
SS1651570752111,CN,abroadexp,否
SS1651570752111,CN,overseaexpnum,没有国际经历
SS1651570752111,CN,firstlanguage,是
SS1651570752111,CN,monolingual,不，我只说中文
SS1651570752111,CN,targetlanguage,能
SS1651570752111,CN,lang_sp,3
SS1651570752111,CN,lang_ud,7
SS1651570752111,CN,subjectiveses,4
SS1651570752111,CN,currentcollege,是
SS1651570752111,CN,selfeducation,四年/五年制大学本科学位
SS1651570752111,CN,stem_or_not,是
SS1651570752111,CN,which_regions,NA
SS1651571509239,CN,zipcode,4760
SS1651571509239,CN,resimobinum,1
SS1651571509239,CN,abroadexp,否
SS1651571509239,CN,overseaexpnum,没有国际经历
SS1651571509239,CN,firstlanguage,是
SS1651571509239,CN,monolingual,不，我只说中文
SS1651571509239,CN,targetlanguage,能
SS1651571509239,CN,lang_sp,4
SS1651571509239,CN,lang_ud,5
SS1651571509239,CN,subjectiveses,6
SS1651571509239,CN,currentcollege,是
SS1651571509239,CN,selfeducation,四年/五年制大学本科学位
SS1651571509239,CN,stem_or_not,否
SS1651571509239,CN,which_regions,NA
SS1651572914976,CN,zipcode,
SS1651572914976,CN,resimobinum,1
SS1651572914976,CN,abroadexp,否
SS1651572914976,CN,overseaexpnum,没有国际经历
SS1651572914976,CN,firstlanguage,是
SS1651572914976,CN,monolingual,不，我只说中文
SS1651572914976,CN,targetlanguage,能
SS1651572914976,CN,lang_sp,3
SS1651572914976,CN,lang_ud,5
SS1651572914976,CN,subjectiveses,5
SS1651572914976,CN,currentcollege,是
SS1651572914976,CN,selfeducation,四年/五年制大学本科学位
SS1651572914976,CN,stem_or_not,否
SS1651572914976,CN,which_regions,NA
SS1651576408487,CN,zipcode,3100
SS1651576408487,CN,resimobinum,8
SS1651576408487,CN,abroadexp,否
SS1651576408487,CN,overseaexpnum,没有国际经历
SS1651576408487,CN,firstlanguage,是
SS1651576408487,CN,monolingual,不，我只说中文
SS1651576408487,CN,targetlanguage,能
SS1651576408487,CN,lang_sp,3
SS1651576408487,CN,lang_ud,4
SS1651576408487,CN,subjectiveses,4
SS1651576408487,CN,currentcollege,是
SS1651576408487,CN,selfeducation,四年/五年制大学本科学位
SS1651576408487,CN,stem_or_not,是
SS1651576408487,CN,which_regions,NA
SS1651578940027,CN,zipcode,3100
SS1651578940027,CN,resimobinum,5
SS1651578940027,CN,abroadexp,否
SS1651578940027,CN,overseaexpnum,一段国际经历
SS1651578940027,CN,firstlanguage,是
SS1651578940027,CN,monolingual,不，我只说中文
SS1651578940027,CN,targetlanguage,能
SS1651578940027,CN,lang_sp,2
SS1651578940027,CN,lang_ud,6
SS1651578940027,CN,subjectiveses,4
SS1651578940027,CN,currentcollege,是
SS1651578940027,CN,selfeducation,四年/五年制大学本科学位
SS1651578940027,CN,stem_or_not,否
SS1651578940027,CN,which_regions,NA
SS1651579399729,CN,zipcode,4535
SS1651579399729,CN,resimobinum,4
SS1651579399729,CN,abroadexp,否
SS1651579399729,CN,overseaexpnum,没有国际经历
SS1651579399729,CN,firstlanguage,是
SS1651579399729,CN,monolingual,不，我只说中文
SS1651579399729,CN,targetlanguage,能
SS1651579399729,CN,lang_sp,1
SS1651579399729,CN,lang_ud,7
SS1651579399729,CN,subjectiveses,3
SS1651579399729,CN,currentcollege,是
SS1651579399729,CN,selfeducation,四年/五年制大学本科学位
SS1651579399729,CN,stem_or_not,是
SS1651579399729,CN,which_regions,NA
SS1651582669897,CN,zipcode,0300
SS1651582669897,CN,resimobinum,3
SS1651582669897,CN,abroadexp,否
SS1651582669897,CN,overseaexpnum,没有国际经历
SS1651582669897,CN,firstlanguage,是
SS1651582669897,CN,monolingual,不，我只说中文
SS1651582669897,CN,targetlanguage,能
SS1651582669897,CN,lang_sp,6
SS1651582669897,CN,lang_ud,6
SS1651582669897,CN,subjectiveses,6
SS1651582669897,CN,currentcollege,否
SS1651582669897,CN,selfeducation,有过一些研究生经历
SS1651582669897,CN,stem_or_not,是
SS1651582669897,CN,which_regions,NA
SS1651620046254,CN,zipcode,451450
SS1651620046254,CN,resimobinum,5
SS1651620046254,CN,abroadexp,否
SS1651620046254,CN,overseaexpnum,没有国际经历
SS1651620046254,CN,firstlanguage,是
SS1651620046254,CN,monolingual,不，我只说中文
SS1651620046254,CN,targetlanguage,能
SS1651620046254,CN,lang_sp,2
SS1651620046254,CN,lang_ud,4
SS1651620046254,CN,subjectiveses,3
SS1651620046254,CN,currentcollege,是
SS1651620046254,CN,selfeducation,四年/五年制大学本科学位
SS1651620046254,CN,stem_or_not,是
SS1651620046254,CN,which_regions,NA
SS1651623308643,CN,zipcode,2100
SS1651623308643,CN,resimobinum,1
SS1651623308643,CN,abroadexp,否
SS1651623308643,CN,overseaexpnum,没有国际经历
SS1651623308643,CN,firstlanguage,是
SS1651623308643,CN,monolingual,是，我是多语者
SS1651623308643,CN,targetlanguage,能
SS1651623308643,CN,lang_sp,5
SS1651623308643,CN,lang_ud,5
SS1651623308643,CN,subjectiveses,5
SS1651623308643,CN,currentcollege,是
SS1651623308643,CN,selfeducation,一年或多年大学教育，无学位
SS1651623308643,CN,stem_or_not,否
SS1651623308643,CN,which_regions,NA
SS1651625504097,CN,zipcode,
SS1651625504097,CN,resimobinum,0
SS1651625504097,CN,abroadexp,否
SS1651625504097,CN,overseaexpnum,没有国际经历
SS1651625504097,CN,firstlanguage,是
SS1651625504097,CN,monolingual,不，我只说中文
SS1651625504097,CN,targetlanguage,能
SS1651625504097,CN,lang_sp,5
SS1651625504097,CN,lang_ud,5
SS1651625504097,CN,subjectiveses,5
SS1651625504097,CN,currentcollege,是
