subject,culture,prompt,response,correct,coder
SS1651849043017,CN,Description1,黄色飞机位置一上一下,1,
SS1651849550334,CN,Description1,直升机位置,1,
SS1651890985414,CN,Description1,飞机下绳子的长短,0,
SS1651891187280,CN,Description1,黄色直升机高低不同,1,
SS1651897042062,CN,Description1,中间的直升飞机位置发生上下方向的位移,1,
SS1651901964830,CN,Description1,黄线的位置,1,
SS1651905218784,CN,Description1,飞机下方那条黑色的线的位置不同,1,
SS1651906129454,CN,Description1,小飞机离地面的距离,1,
SS1651906591158,CN,Description1,飞机,1,
SS1651906687128,CN,Description1,小直升机螺旋桨的高低,0,
SS1651907106845,CN,Description1,直升机,1,
SS1651910974793,CN,Description1,直升机距离地面黄线的位置不同,1,
SS1651912088419,CN,Description1,直升机高度,1,
SS1651915236922,CN,Description1,黄色飞机距离最前方黄线的距离不一样，一张近，一张远。,1,
SS1651916837690,CN,Description1,人的那个位置有变化,0,
SS1651916886491,CN,Description1,飞机高低,1,
SS1651918483229,CN,Description1,飞机位置,1,
SS1651919285907,CN,Description1,橙色飞机位置,1,
SS1651921503296,CN,Description1,直升机高度,1,
SS1651922816094,CN,Description1,直升机的位置,1,
SS1651924494966,CN,Description1,直升机离地高度不同,1,
SS1651926576151,CN,Description1,车身的位置,1,
SS1651926856493,CN,Description1,黄色飞机与地面上第一条黄线的距离不一样。,1,
SS1651928385240,CN,Description1,直升机位置不同,1,
SS1651932416698,CN,Description1,小飞机的位置变化,1,
SS1651934015946,CN,Description1,直升飞机的垂直位置不同,1,
SS1651544690789,CN,Description10,轮子,1,
SS1651544824620,CN,Description10,挖土机的滚轮有无,1,
SS1651544913549,CN,Description10,未知,0,
SS1651545081461,CN,Description10,车轮上方，履带n2ali,1,
SS1651545107281,CN,Description10,挖土机的外观不同,1,
SS1651545123067,CN,Description10,挖掘机的滑轮一个有一个没有,1,
SS1651545188145,CN,Description10,车轮的有无,1,
SS1651545279588,CN,Description10,车底的黄色圆环,1,
SS1651545285513,CN,Description10,在黄车的轮子那有个有笑脸 有个没有,1,
SS1651545357097,CN,Description10,黄色齿轮,1,
SS1651545751233,CN,Description10,挖掘机车带,1,
SS1651546122639,CN,Description10,履带间齿轮,1,
SS1651546915326,CN,Description10,未知,0,
SS1651547162777,CN,Description10,车轮胎上有个黄色的轮子,1,
SS1651548143005,CN,Description10,拖拉机轮子,1,
SS1651552362039,CN,Description10,挖掘机底下一个黄色的圆圈,1,
SS1651552795730,CN,Description10,拖拉机,1,
SS1651552837542,CN,Description10,推土机履带,1,
SS1651553474432,CN,Description10,轮子,1,
SS1651553913160,CN,Description10,轮子上一个有圆形一个没有,1,
SS1651553969715,CN,Description10,履带,1,
SS1651554145523,CN,Description10,车轮,1,
SS1651554184228,CN,Description10,挖掘机没有轮子,1,
SS1651554284065,CN,Description10,挖掘机多了一个黄色的轮子，在中间,1,
SS1651554809980,CN,Description10,少一个黄色轮子,1,
SS1651559729763,CN,Description10,齿轮,1,
SS1651560025455,CN,Description10,坦克车轮链条里是否有圆形部件,1,
SS1651561685665,CN,Description10,推土机的齿轮个数不同,1,
SS1651562034956,CN,Description10,黄色的轮子,1,
SS1651562868228,CN,Description10,第二张机器少一个轮子,1,
SS1651564260438,CN,Description10,履带下的齿轮,1,
SS1651564308340,CN,Description10,道路,0,
SS1651565828518,CN,Description10,车身有无齿轮,1,
SS1651568252846,CN,Description10,铲车履带部分，有一个没齿轮,1,
SS1651568382617,CN,Description10,齿轮,1,
SS1651568918829,CN,Description10,黄色拖拉机的履带齿轮,1,
SS1651570752111,CN,Description10,黄的轮子的有无,1,
SS1651571509239,CN,Description10,黄色车的轮子不同,1,
SS1651572914976,CN,Description10,少了黄色的轮子,1,
SS1651576408487,CN,Description10,图中央的一个黄色轮胎,1,
SS1651578940027,CN,Description10,挖掘机少了一个转轮,1,
SS1651579399729,CN,Description10,推土机轮胎吧，一个有一个没有,1,
SS1651582669897,CN,Description10,挖机辅助轮不同，一个有一个没有,1,
SS1651590333066,CN,Description10,推土机驱动轮不同,1,
SS1651620046254,CN,Description10,黄色车里零件不同,1,
SS1651623308643,CN,Description10,黄色车子上多了一个轮子,1,
SS1651625504097,CN,Description10,少了一个黄色轮子,1,
SS1651629675682,CN,Description10,铲车上的传送轮,1,
SS1651631038398,CN,Description10,推土机和汽车,0,
SS1651631374290,CN,Description10,挖掘机不同。,1,
SS1651632269384,CN,Description10,齿轮,1,
SS1651633449820,CN,Description10,推土机履带上多一个齿轮,1,
SS1651634088254,CN,Description10,挖掘机部件,1,
SS1651634616537,CN,Description10,推土机黄色的轮子有无,1,
SS1651634772197,CN,Description10,齿轮,1,
SS1651636059839,CN,Description10,齿轮,1,
SS1651637972613,CN,Description10,未知,0,
SS1651642739005,CN,Description10,推土机少了个齿轮,1,
SS1651644576691,CN,Description10,推土机履带的不同,1,
SS1651645903803,CN,Description10,推土机的履带里轮子的不一样,1,
SS1651648364635,CN,Description10,推土机有没有多一个黄色的齿轮,1,
SS1651649525276,CN,Description10,有一张上面黄色车子多了一个轮胎。,1,
SS1651652206023,CN,Description10,拖拉机轮,1,
SS1651652979760,CN,Description10,铲车中间的一个部件，一个有一个没有,1,
SS1651654468673,CN,Description10,器械部件变化 ,1,
SS1651654992618,CN,Description10,车轮,1,
SS1651655612985,CN,Description10,未知,0,
SS1651660777144,CN,Description10,未知,0,
SS1651661370426,CN,Description10,黄色滚轮,1,
SS1651662575870,CN,Description10,挖掘机的驱动轮,1,
SS1651663394470,CN,Description10,黄色的轮子,1,
SS1651664105704,CN,Description10,黄色铲车履带中间，有一张图少一个轮子,1,
SS1651665034176,CN,Description10,挖掘机轮子上面的零件,1,
SS1651666650135,CN,Description10,履带底下的轮子数量,1,
SS1651669607417,CN,Description10,齿轮,1,
SS1651669856701,CN,Description10,履带车履带下面的黄色圆形物体,1,
SS1651672824225,CN,Description10,挖掘机的上齿轮数目不同,1,
SS1651674999028,CN,Description10,驱动轮的有无,1,
SS1651675575564,CN,Description10,车轮中间的东西一个有一个没有,1,
SS1651675739437,CN,Description10,车的轴承颜色不同,1,
SS1651682617757,CN,Description10,未知,0,
SS1651705155608,CN,Description10,挖掘机车轮,1,
SS1651713128281,CN,Description10,推土机的轮子,1,
SS1651721379726,CN,Description10,机器的履带多了一个东西,1,
SS1651724542208,CN,Description10,一张的拖拉机少了个齿轮,1,
SS1651726203467,CN,Description10,轮胎的数量,1,
SS1651727116955,CN,Description10,黄色部件,1,
SS1651727696486,CN,Description10,黄色挖掘机的轮胎不同,1,
SS1651728177417,CN,Description10,机器履带处有无黄色类似轴承的器件,1,
SS1651729682124,CN,Description10,挖土机上有没有一个圆形黄色齿轮,1,
SS1651729792731,CN,Description10,黄色压路机履带右上角形状不同,1,
SS1651731235827,CN,Description10,推土机的齿轮,1,
SS1651732296508,CN,Description10,车少了一个轮胎,1,
SS1651734446265,CN,Description10,车中间黄色的圆轮,1,
SS1651737005457,CN,Description10,推土机履带下有个齿盘,1,
SS1651739183035,CN,Description10,黄车的轮子上面多了个圆形物体,1,
SS1651742060593,CN,Description10,车轮子上面多了一块圆圆的,1,
SS1651743246534,CN,Description10,小轮子,1,
SS1651744829480,CN,Description10,黄色齿轮有无,1,
SS1651747335475,CN,Description10,挖掘机底轮轮子数量不同,1,
SS1651748703908,CN,Description10,黄色的轮子不同,1,
SS1651751338853,CN,Description10,有一张图片黄色拖拉机里面多了一小个滚轮。,1,
SS1651751579584,CN,Description10,拖拉机履带处的齿轮个数不一样,1,
SS1651761786814,CN,Description10,齿轮,1,
SS1651762141455,CN,Description10,这个车的轮子个数不同，其中一张图片里还有个小车轮,1,
SS1651763037034,CN,Description10,齿轮,1,
SS1651764193629,CN,Description10,轮子,1,
SS1651765169248,CN,Description10,少了个齿轮,1,
SS1651765894743,CN,Description10,拖拉机中间有个黄色轮胎一有一没,1,
SS1651765911820,CN,Description10,黄色挖机的履带里有无黄色滚轮,1,
SS1651767555827,CN,Description10,推土机轮子一张图上少一个黄色轮子,1,
SS1651769304707,CN,Description10,挖掘机的履带中间的东西,1,
SS1651771465459,CN,Description10,轮子上面那个齿轮,1,
SS1651783487150,CN,Description10,车轮,1,
SS1651798074227,CN,Description10,轮子,1,
SS1651799596238,CN,Description10,坦克少了一个轮子,1,
SS1651802919199,CN,Description10,车轮是否有大齿轮,1,
SS1651804378273,CN,Description10,车带上的齿轮,1,
SS1651804729362,CN,Description10,未知,0,
SS1651804768520,CN,Description10,黄色的车上最上面那个车轮，时有时无,1,
SS1651806183814,CN,Description10,铲车齿轮,1,
SS1651807227958,CN,Description10,挖掘机滚带里面的轮子,1,
SS1651807671427,CN,Description10,未知,0,
SS1651809674248,CN,Description10,中间的黄车有个黄色部位消失或出现,1,
SS1651810536901,CN,Description10,一个有黄色齿轮一个没有黄色齿轮,1,
SS1651810766684,CN,Description10,未知,0,
SS1651811217708,CN,Description10,一张图片里有轮子一张没有,1,
