subject,which_regions,demog_question,demog_response,culture
SS1608709300687,"c(""North America"", ""Asia"")",resimobinum,6,US
SS1608709300687,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1608709300687,"c(""North America"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1608709300687,"c(""North America"", ""Asia"")",firstlanguage,Yes,US
SS1608709300687,"c(""North America"", ""Asia"")",monolingual,"Yes, I am multilingual",US
SS1608709300687,"c(""North America"", ""Asia"")",targetlanguage,Yes,US
SS1608709300687,"c(""North America"", ""Asia"")",objectiveses,At least some graduate school,US
SS1608709300687,"c(""North America"", ""Asia"")",subjectiveses,9,US
SS1608737929527,character(0),zipcode,380,US
SS1608737929527,character(0),resimobinum,1,US
SS1608737929527,character(0),abroadexp,No,US
SS1608737929527,character(0),overseaexpnum,Six or more experiences,US
SS1608737929527,character(0),firstlanguage,Yes,US
SS1608737929527,character(0),monolingual,"Yes, I am multilingual",US
SS1608737929527,character(0),targetlanguage,Yes,US
SS1608737929527,character(0),objectiveses,High school graduate/GED,US
SS1608737929527,character(0),subjectiveses,8,US
SS1608750563425,character(0),zipcode,917,US
SS1608750563425,character(0),resimobinum,1,US
SS1608750563425,character(0),abroadexp,No,US
SS1608750563425,character(0),overseaexpnum,One experience,US
SS1608750563425,character(0),firstlanguage,Yes,US
SS1608750563425,character(0),monolingual,"No, just English",US
SS1608750563425,character(0),targetlanguage,No,US
SS1608750563425,character(0),objectiveses,"One or more years of college, no degree",US
SS1608750563425,character(0),subjectiveses,5,US
SS1608759071639,character(0),zipcode,068,US
SS1608759071639,character(0),resimobinum,4,US
SS1608759071639,character(0),abroadexp,No,US
SS1608759071639,character(0),overseaexpnum,Six or more experiences,US
SS1608759071639,character(0),firstlanguage,Yes,US
SS1608759071639,character(0),monolingual,"No, just English",US
SS1608759071639,character(0),targetlanguage,Yes,US
SS1608759071639,character(0),objectiveses,High school graduate/GED,US
SS1608759071639,character(0),subjectiveses,9,US
SS1608764841871,character(0),zipcode,948,US
SS1608764841871,character(0),resimobinum,1,US
SS1608764841871,character(0),abroadexp,No,US
SS1608764841871,character(0),overseaexpnum,Three to five experiences,US
SS1608764841871,character(0),firstlanguage,Yes,US
SS1608764841871,character(0),monolingual,"Yes, I am multilingual",US
SS1608764841871,character(0),targetlanguage,Yes,US
SS1608764841871,character(0),objectiveses,"One or more years of college, no degree",US
SS1608764841871,character(0),subjectiveses,7,US
SS1608764844416,character(0),zipcode,986,US
SS1608764844416,character(0),resimobinum,3,US
SS1608764844416,character(0),abroadexp,No,US
SS1608764844416,character(0),overseaexpnum,Six or more experiences,US
SS1608764844416,character(0),firstlanguage,Yes,US
SS1608764844416,character(0),monolingual,"No, just English",US
SS1608764844416,character(0),targetlanguage,No,US
SS1608764844416,character(0),objectiveses,"One or more years of college, no degree",US
SS1608764844416,character(0),subjectiveses,6,US
SS1608764928854,character(0),zipcode,112,US
SS1608764928854,character(0),resimobinum,4,US
SS1608764928854,character(0),abroadexp,No,US
SS1608764928854,character(0),overseaexpnum,Six or more experiences,US
SS1608764928854,character(0),firstlanguage,Yes,US
SS1608764928854,character(0),monolingual,"Yes, I am multilingual",US
SS1608764928854,character(0),targetlanguage,No,US
SS1608764928854,character(0),objectiveses,"One or more years of college, no degree",US
SS1608764928854,character(0),subjectiveses,6,US
SS1608765105161,character(0),zipcode,917,US
SS1608765105161,character(0),resimobinum,5,US
SS1608765105161,character(0),abroadexp,No,US
SS1608765105161,character(0),overseaexpnum,No experiences,US
SS1608765105161,character(0),firstlanguage,Yes,US
SS1608765105161,character(0),monolingual,"Yes, I am multilingual",US
SS1608765105161,character(0),targetlanguage,No,US
SS1608765105161,character(0),objectiveses,"One or more years of college, no degree",US
SS1608765105161,character(0),subjectiveses,4,US
SS1608765292402,character(0),zipcode,914,US
SS1608765292402,character(0),resimobinum,1,US
SS1608765292402,character(0),abroadexp,No,US
SS1608765292402,character(0),overseaexpnum,Three to five experiences,US
SS1608765292402,character(0),firstlanguage,Yes,US
SS1608765292402,character(0),monolingual,"No, just English",US
SS1608765292402,character(0),targetlanguage,No,US
SS1608765292402,character(0),objectiveses,"One or more years of college, no degree",US
SS1608765292402,character(0),subjectiveses,4,US
SS1608765554635,character(0),zipcode,917,US
SS1608765554635,character(0),resimobinum,1,US
SS1608765554635,character(0),abroadexp,No,US
SS1608765554635,character(0),overseaexpnum,No experiences,US
SS1608765554635,character(0),firstlanguage,Yes,US
SS1608765554635,character(0),monolingual,"Yes, I am multilingual",US
SS1608765554635,character(0),targetlanguage,Yes,US
SS1608765554635,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1608765554635,character(0),subjectiveses,7,US
SS1608765717953,character(0),zipcode,943,US
SS1608765717953,character(0),resimobinum,5,US
SS1608765717953,character(0),abroadexp,No,US
SS1608765717953,character(0),overseaexpnum,Six or more experiences,US
SS1608765717953,character(0),firstlanguage,Yes,US
SS1608765717953,character(0),monolingual,"No, just English",US
SS1608765717953,character(0),targetlanguage,No,US
SS1608765717953,character(0),objectiveses,"One or more years of college, no degree",US
SS1608765717953,character(0),subjectiveses,6,US
SS1608766095260,character(0),zipcode,100,US
SS1608766095260,character(0),resimobinum,1,US
SS1608766095260,character(0),abroadexp,No,US
SS1608766095260,character(0),overseaexpnum,Three to five experiences,US
SS1608766095260,character(0),firstlanguage,Yes,US
SS1608766095260,character(0),monolingual,"No, just English",US
SS1608766095260,character(0),targetlanguage,Yes,US
SS1608766095260,character(0),objectiveses,"One or more years of college, no degree",US
SS1608766095260,character(0),subjectiveses,10,US
SS1608766593457,character(0),zipcode,605,US
SS1608766593457,character(0),resimobinum,2,US
SS1608766593457,character(0),abroadexp,No,US
SS1608766593457,character(0),overseaexpnum,Six or more experiences,US
SS1608766593457,character(0),firstlanguage,Yes,US
SS1608766593457,character(0),monolingual,"No, just English",US
SS1608766593457,character(0),targetlanguage,No,US
SS1608766593457,character(0),objectiveses,High school graduate/GED,US
SS1608766593457,character(0),subjectiveses,4,US
SS1608766617789,character(0),zipcode,944,US
SS1608766617789,character(0),resimobinum,2,US
SS1608766617789,character(0),abroadexp,No,US
SS1608766617789,character(0),overseaexpnum,Three to five experiences,US
SS1608766617789,character(0),firstlanguage,Yes,US
SS1608766617789,character(0),monolingual,"Yes, I am multilingual",US
SS1608766617789,character(0),targetlanguage,Yes,US
SS1608766617789,character(0),objectiveses,High school graduate/GED,US
SS1608766617789,character(0),subjectiveses,7,US
SS1608766942272,character(0),zipcode,905,US
SS1608766942272,character(0),resimobinum,6,US
SS1608766942272,character(0),abroadexp,No,US
SS1608766942272,character(0),overseaexpnum,Six or more experiences,US
SS1608766942272,character(0),firstlanguage,Yes,US
SS1608766942272,character(0),monolingual,"Yes, I am multilingual",US
SS1608766942272,character(0),targetlanguage,No,US
SS1608766942272,character(0),objectiveses,High school graduate/GED,US
SS1608766942272,character(0),subjectiveses,3,US
SS1608767066841,"c(""North America"", ""Asia"")",zipcode,951,US
SS1608767066841,"c(""North America"", ""Asia"")",resimobinum,5,US
SS1608767066841,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1608767066841,"c(""North America"", ""Asia"")",overseaexpnum,Two experiences,US
SS1608767066841,"c(""North America"", ""Asia"")",firstlanguage,No,US
SS1608767066841,"c(""North America"", ""Asia"")",monolingual,"Yes, I am multilingual",US
SS1608767066841,"c(""North America"", ""Asia"")",targetlanguage,Yes,US
SS1608767066841,"c(""North America"", ""Asia"")",objectiveses,"One or more years of college, no degree",US
SS1608767066841,"c(""North America"", ""Asia"")",subjectiveses,6,US
SS1608767257570,character(0),zipcode,801,US
SS1608767257570,character(0),resimobinum,2,US
SS1608767257570,character(0),abroadexp,No,US
SS1608767257570,character(0),overseaexpnum,Three to five experiences,US
SS1608767257570,character(0),firstlanguage,Yes,US
SS1608767257570,character(0),monolingual,"No, just English",US
SS1608767257570,character(0),targetlanguage,No,US
SS1608767257570,character(0),objectiveses,"One or more years of college, no degree",US
SS1608767257570,character(0),subjectiveses,7,US
SS1608768789316,character(0),zipcode,951,US
SS1608768789316,character(0),resimobinum,2,US
SS1608768789316,character(0),abroadexp,No,US
SS1608768789316,character(0),overseaexpnum,Six or more experiences,US
SS1608768789316,character(0),firstlanguage,Yes,US
SS1608768789316,character(0),monolingual,"Yes, I am multilingual",US
SS1608768789316,character(0),targetlanguage,Yes,US
SS1608768789316,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1608768789316,character(0),subjectiveses,9,US
SS1608769719671,"c(""North America"", ""Asia"")",zipcode,110,US
SS1608769719671,"c(""North America"", ""Asia"")",resimobinum,2,US
SS1608769719671,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1608769719671,"c(""North America"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1608769719671,"c(""North America"", ""Asia"")",firstlanguage,Yes,US
SS1608769719671,"c(""North America"", ""Asia"")",monolingual,"Yes, I am multilingual",US
SS1608769719671,"c(""North America"", ""Asia"")",targetlanguage,Yes,US
SS1608769719671,"c(""North America"", ""Asia"")",objectiveses,"One or more years of college, no degree",US
SS1608769719671,"c(""North America"", ""Asia"")",subjectiveses,6,US
SS1608770272900,character(0),zipcode,346,US
SS1608770272900,character(0),resimobinum,2,US
SS1608770272900,character(0),abroadexp,No,US
SS1608770272900,character(0),overseaexpnum,Six or more experiences,US
SS1608770272900,character(0),firstlanguage,Yes,US
SS1608770272900,character(0),monolingual,"Yes, I am multilingual",US
SS1608770272900,character(0),targetlanguage,No,US
SS1608770272900,character(0),objectiveses,"One or more years of college, no degree",US
SS1608770272900,character(0),subjectiveses,4,US
SS1608771762929,character(0),zipcode,940,US
SS1608771762929,character(0),resimobinum,1,US
SS1608771762929,character(0),abroadexp,No,US
SS1608771762929,character(0),overseaexpnum,Six or more experiences,US
SS1608771762929,character(0),firstlanguage,Yes,US
SS1608771762929,character(0),monolingual,"Yes, I am multilingual",US
SS1608771762929,character(0),targetlanguage,Yes,US
SS1608771762929,character(0),objectiveses,At least some graduate school,US
SS1608771762929,character(0),subjectiveses,9,US
SS1608773085433,character(0),zipcode,943,US
SS1608773085433,character(0),resimobinum,9,US
SS1608773085433,character(0),abroadexp,No,US
SS1608773085433,character(0),overseaexpnum,Six or more experiences,US
SS1608773085433,character(0),firstlanguage,Yes,US
SS1608773085433,character(0),monolingual,"No, just English",US
SS1608773085433,character(0),targetlanguage,No,US
SS1608773085433,character(0),objectiveses,Some high school,US
SS1608773085433,character(0),subjectiveses,6,US
SS1608774634252,character(0),zipcode,761,US
SS1608774634252,character(0),resimobinum,3,US
SS1608774634252,character(0),abroadexp,No,US
SS1608774634252,character(0),overseaexpnum,Two experiences,US
SS1608774634252,character(0),firstlanguage,Yes,US
SS1608774634252,character(0),monolingual,"Yes, I am multilingual",US
SS1608774634252,character(0),targetlanguage,No,US
SS1608774634252,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1608774634252,character(0),subjectiveses,3,US
SS1608775395629,character(0),zipcode,076,US
SS1608775395629,character(0),resimobinum,2,US
SS1608775395629,character(0),abroadexp,No,US
SS1608775395629,character(0),overseaexpnum,Six or more experiences,US
SS1608775395629,character(0),firstlanguage,Yes,US
SS1608775395629,character(0),monolingual,"No, just English",US
SS1608775395629,character(0),targetlanguage,No,US
SS1608775395629,character(0),objectiveses,"One or more years of college, no degree",US
SS1608775395629,character(0),subjectiveses,8,US
SS1608775531570,character(0),zipcode,911,US
SS1608775531570,character(0),resimobinum,2,US
SS1608775531570,character(0),abroadexp,No,US
SS1608775531570,character(0),overseaexpnum,Six or more experiences,US
SS1608775531570,character(0),firstlanguage,Yes,US
SS1608775531570,character(0),monolingual,"No, just English",US
SS1608775531570,character(0),targetlanguage,No,US
SS1608775531570,character(0),objectiveses,"One or more years of college, no degree",US
SS1608775531570,character(0),subjectiveses,9,US
SS1608775703963,character(0),zipcode,936,US
SS1608775703963,character(0),resimobinum,4,US
SS1608775703963,character(0),abroadexp,No,US
SS1608775703963,character(0),overseaexpnum,Two experiences,US
SS1608775703963,character(0),firstlanguage,Yes,US
SS1608775703963,character(0),monolingual,"No, just English",US
SS1608775703963,character(0),targetlanguage,No,US
SS1608775703963,character(0),objectiveses,Two-year college degree/vocational school,US
SS1608775703963,character(0),subjectiveses,5,US
SS1608781013661,character(0),zipcode,,US
SS1608781013661,character(0),resimobinum,3,US
SS1608781013661,character(0),abroadexp,No,US
SS1608781013661,character(0),overseaexpnum,Six or more experiences,US
SS1608781013661,character(0),firstlanguage,Yes,US
SS1608781013661,character(0),monolingual,"No, just English",US
SS1608781013661,character(0),targetlanguage,No,US
SS1608781013661,character(0),objectiveses,"One or more years of college, no degree",US
SS1608781013661,character(0),subjectiveses,8,US
SS1608785293132,"c(""North America"", ""Asia"")",zipcode,917,US
SS1608785293132,"c(""North America"", ""Asia"")",resimobinum,2,US
SS1608785293132,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1608785293132,"c(""North America"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1608785293132,"c(""North America"", ""Asia"")",firstlanguage,Yes,US
SS1608785293132,"c(""North America"", ""Asia"")",monolingual,"Yes, I am multilingual",US
SS1608785293132,"c(""North America"", ""Asia"")",targetlanguage,No,US
SS1608785293132,"c(""North America"", ""Asia"")",objectiveses,Two-year college degree/vocational school,US
SS1608785293132,"c(""North America"", ""Asia"")",subjectiveses,5,US
SS1608785426067,character(0),zipcode,940,US
SS1608785426067,character(0),resimobinum,9,US
SS1608785426067,character(0),abroadexp,No,US
SS1608785426067,character(0),overseaexpnum,Six or more experiences,US
SS1608785426067,character(0),firstlanguage,Yes,US
SS1608785426067,character(0),monolingual,"No, just English",US
SS1608785426067,character(0),targetlanguage,No,US
SS1608785426067,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1608785426067,character(0),subjectiveses,9,US
SS1608785674688,Asia,zipcode,,US
SS1608785674688,Asia,resimobinum,2,US
SS1608785674688,Asia,abroadexp,Yes,US
SS1608785674688,Asia,overseaexpnum,Three to five experiences,US
SS1608785674688,Asia,firstlanguage,,US
SS1608785674688,Asia,monolingual,,US
SS1608785674688,Asia,targetlanguage,,US
SS1608785674688,Asia,objectiveses,High school graduate/GED,US
SS1608785674688,Asia,subjectiveses,6,US
SS1608787713278,character(0),zipcode,024,US
SS1608787713278,character(0),resimobinum,8,US
SS1608787713278,character(0),abroadexp,No,US
SS1608787713278,character(0),overseaexpnum,Six or more experiences,US
SS1608787713278,character(0),firstlanguage,Yes,US
SS1608787713278,character(0),monolingual,"No, just English",US
SS1608787713278,character(0),targetlanguage,No,US
SS1608787713278,character(0),objectiveses,"One or more years of college, no degree",US
SS1608787713278,character(0),subjectiveses,7,US
SS1608788427161,character(0),zipcode,917,US
SS1608788427161,character(0),resimobinum,1,US
SS1608788427161,character(0),abroadexp,No,US
SS1608788427161,character(0),overseaexpnum,Two experiences,US
SS1608788427161,character(0),firstlanguage,Yes,US
SS1608788427161,character(0),monolingual,"Yes, I am multilingual",US
SS1608788427161,character(0),targetlanguage,No,US
SS1608788427161,character(0),objectiveses,"One or more years of college, no degree",US
SS1608788427161,character(0),subjectiveses,7,US
SS1608788987298,character(0),zipcode,770,US
SS1608788987298,character(0),resimobinum,1,US
SS1608788987298,character(0),abroadexp,No,US
SS1608788987298,character(0),overseaexpnum,Six or more experiences,US
SS1608788987298,character(0),firstlanguage,Yes,US
SS1608788987298,character(0),monolingual,"Yes, I am multilingual",US
SS1608788987298,character(0),targetlanguage,Yes,US
SS1608788987298,character(0),objectiveses,High school graduate/GED,US
SS1608788987298,character(0),subjectiveses,8,US
SS1608790005674,character(0),zipcode,917,US
SS1608790005674,character(0),resimobinum,2,US
SS1608790005674,character(0),abroadexp,No,US
SS1608790005674,character(0),overseaexpnum,Two experiences,US
SS1608790005674,character(0),firstlanguage,Yes,US
SS1608790005674,character(0),monolingual,"No, just English",US
SS1608790005674,character(0),targetlanguage,No,US
SS1608790005674,character(0),objectiveses,Two-year college degree/vocational school,US
SS1608790005674,character(0),subjectiveses,7,US
SS1608790890814,character(0),zipcode,805,US
SS1608790890814,character(0),resimobinum,2,US
SS1608790890814,character(0),abroadexp,No,US
SS1608790890814,character(0),overseaexpnum,Three to five experiences,US
SS1608790890814,character(0),firstlanguage,Yes,US
SS1608790890814,character(0),monolingual,"Yes, I am multilingual",US
SS1608790890814,character(0),targetlanguage,Yes,US
SS1608790890814,character(0),objectiveses,"One or more years of college, no degree",US
SS1608790890814,character(0),subjectiveses,6,US
SS1608791220883,character(0),zipcode,,US
SS1608791220883,character(0),resimobinum,4,US
SS1608791220883,character(0),abroadexp,No,US
SS1608791220883,character(0),overseaexpnum,Six or more experiences,US
SS1608791220883,character(0),firstlanguage,Yes,US
SS1608791220883,character(0),monolingual,"Yes, I am multilingual",US
SS1608791220883,character(0),targetlanguage,No,US
SS1608791220883,character(0),objectiveses,At least some graduate school,US
SS1608791220883,character(0),subjectiveses,6,US
SS1608792549625,character(0),zipcode,361,US
SS1608792549625,character(0),resimobinum,2,US
SS1608792549625,character(0),abroadexp,No,US
SS1608792549625,character(0),overseaexpnum,Six or more experiences,US
SS1608792549625,character(0),firstlanguage,Yes,US
SS1608792549625,character(0),monolingual,"No, just English",US
SS1608792549625,character(0),targetlanguage,No,US
SS1608792549625,character(0),objectiveses,"One or more years of college, no degree",US
SS1608792549625,character(0),subjectiveses,6,US
SS1608793140128,North America,zipcode,900,US
SS1608793140128,North America,resimobinum,7,US
SS1608793140128,North America,abroadexp,Yes,US
SS1608793140128,North America,overseaexpnum,Two experiences,US
SS1608793140128,North America,firstlanguage,No,US
SS1608793140128,North America,monolingual,"Yes, I am multilingual",US
SS1608793140128,North America,targetlanguage,Yes,US
SS1608793140128,North America,objectiveses,High school graduate/GED,US
SS1608793140128,North America,subjectiveses,6,US
SS1608794984596,"c(""North America"", ""Europe"")",zipcode,,US
SS1608794984596,"c(""North America"", ""Europe"")",resimobinum,7,US
SS1608794984596,"c(""North America"", ""Europe"")",abroadexp,Yes,US
SS1608794984596,"c(""North America"", ""Europe"")",overseaexpnum,Six or more experiences,US
SS1608794984596,"c(""North America"", ""Europe"")",firstlanguage,Yes,US
SS1608794984596,"c(""North America"", ""Europe"")",monolingual,"Yes, I am multilingual",US
SS1608794984596,"c(""North America"", ""Europe"")",targetlanguage,No,US
SS1608794984596,"c(""North America"", ""Europe"")",objectiveses,"One or more years of college, no degree",US
SS1608794984596,"c(""North America"", ""Europe"")",subjectiveses,7,US
SS1608797392775,character(0),zipcode,921,US
SS1608797392775,character(0),resimobinum,1,US
SS1608797392775,character(0),abroadexp,No,US
SS1608797392775,character(0),overseaexpnum,Two experiences,US
SS1608797392775,character(0),firstlanguage,Yes,US
SS1608797392775,character(0),monolingual,"Yes, I am multilingual",US
SS1608797392775,character(0),targetlanguage,No,US
SS1608797392775,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1608797392775,character(0),subjectiveses,7,US
SS1608813710413,character(0),zipcode,943,US
SS1608813710413,character(0),resimobinum,1,US
SS1608813710413,character(0),abroadexp,No,US
SS1608813710413,character(0),overseaexpnum,Six or more experiences,US
SS1608813710413,character(0),firstlanguage,Yes,US
SS1608813710413,character(0),monolingual,"Yes, I am multilingual",US
SS1608813710413,character(0),targetlanguage,No,US
SS1608813710413,character(0),objectiveses,"One or more years of college, no degree",US
SS1608813710413,character(0),subjectiveses,10,US
SS1608816457066,"c(""North America"", ""Asia"")",zipcode,943,US
SS1608816457066,"c(""North America"", ""Asia"")",resimobinum,8,US
SS1608816457066,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1608816457066,"c(""North America"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1608816457066,"c(""North America"", ""Asia"")",firstlanguage,Yes,US
SS1608816457066,"c(""North America"", ""Asia"")",monolingual,"Yes, I am multilingual",US
SS1608816457066,"c(""North America"", ""Asia"")",targetlanguage,Yes,US
SS1608816457066,"c(""North America"", ""Asia"")",objectiveses,"One or more years of college, no degree",US
SS1608816457066,"c(""North America"", ""Asia"")",subjectiveses,9,US
SS1608817521759,character(0),zipcode,079,US
SS1608817521759,character(0),resimobinum,2,US
SS1608817521759,character(0),abroadexp,No,US
SS1608817521759,character(0),overseaexpnum,Six or more experiences,US
SS1608817521759,character(0),firstlanguage,Yes,US
SS1608817521759,character(0),monolingual,"Yes, I am multilingual",US
SS1608817521759,character(0),targetlanguage,Yes,US
SS1608817521759,character(0),objectiveses,"One or more years of college, no degree",US
SS1608817521759,character(0),subjectiveses,8,US
SS1608824272594,character(0),zipcode,770,US
SS1608824272594,character(0),resimobinum,1,US
SS1608824272594,character(0),abroadexp,No,US
SS1608824272594,character(0),overseaexpnum,One experience,US
SS1608824272594,character(0),firstlanguage,Yes,US
SS1608824272594,character(0),monolingual,"Yes, I am multilingual",US
SS1608824272594,character(0),targetlanguage,Yes,US
SS1608824272594,character(0),objectiveses,"One or more years of college, no degree",US
SS1608824272594,character(0),subjectiveses,6,US
SS1608831660664,character(0),zipcode,209,US
SS1608831660664,character(0),resimobinum,5,US
SS1608831660664,character(0),abroadexp,No,US
SS1608831660664,character(0),overseaexpnum,One experience,US
SS1608831660664,character(0),firstlanguage,Yes,US
SS1608831660664,character(0),monolingual,"Yes, I am multilingual",US
SS1608831660664,character(0),targetlanguage,No,US
SS1608831660664,character(0),objectiveses,High school graduate/GED,US
SS1608831660664,character(0),subjectiveses,3,US
SS1608833527308,character(0),zipcode,947,US
SS1608833527308,character(0),resimobinum,1,US
SS1608833527308,character(0),abroadexp,No,US
SS1608833527308,character(0),overseaexpnum,Six or more experiences,US
SS1608833527308,character(0),firstlanguage,Yes,US
SS1608833527308,character(0),monolingual,"Yes, I am multilingual",US
SS1608833527308,character(0),targetlanguage,Yes,US
SS1608833527308,character(0),objectiveses,At least some graduate school,US
SS1608833527308,character(0),subjectiveses,7,US
SS1608834401052,character(0),zipcode,076,US
SS1608834401052,character(0),resimobinum,1,US
SS1608834401052,character(0),abroadexp,No,US
SS1608834401052,character(0),overseaexpnum,Two experiences,US
SS1608834401052,character(0),firstlanguage,Yes,US
SS1608834401052,character(0),monolingual,"No, just English",US
SS1608834401052,character(0),targetlanguage,No,US
SS1608834401052,character(0),objectiveses,"One or more years of college, no degree",US
SS1608834401052,character(0),subjectiveses,6,US
SS1608836237583,character(0),zipcode,927,US
SS1608836237583,character(0),resimobinum,5,US
SS1608836237583,character(0),abroadexp,No,US
SS1608836237583,character(0),overseaexpnum,Three to five experiences,US
SS1608836237583,character(0),firstlanguage,Yes,US
SS1608836237583,character(0),monolingual,"Yes, I am multilingual",US
SS1608836237583,character(0),targetlanguage,No,US
SS1608836237583,character(0),objectiveses,"One or more years of college, no degree",US
SS1608836237583,character(0),subjectiveses,2,US
SS1608836302253,character(0),zipcode,940,US
SS1608836302253,character(0),resimobinum,1,US
SS1608836302253,character(0),abroadexp,No,US
SS1608836302253,character(0),overseaexpnum,Six or more experiences,US
SS1608836302253,character(0),firstlanguage,Yes,US
SS1608836302253,character(0),monolingual,"No, just English",US
SS1608836302253,character(0),targetlanguage,Yes,US
SS1608836302253,character(0),objectiveses,"One or more years of college, no degree",US
SS1608836302253,character(0),subjectiveses,9,US
SS1608839691941,Africa,zipcode,750,US
SS1608839691941,Africa,resimobinum,2,US
SS1608839691941,Africa,abroadexp,Yes,US
