subject,culture,trial_info,raw_response,response,coder
SS1651617071100,US,allheal1,"{""si_li_allheal1"":""Whoever found a plant would win a prize""}",1,NA
SS1651617143573,US,allheal1,"{""si_li_allheal1"":""That he had a dream he found a healing plant, and they needed to go find it.  ""}",1,NA
SS1651617282312,US,allheal1,"{""si_li_allheal1"":""To gather all the people in the town. He wanted to tell them about the allheal plant.""}",1,NA
SS1651617310480,US,allheal1,"{""si_li_allheal1"":""To gather all the young men and try to find the plant.""}",1,NA
SS1651624230659,US,allheal1,"{""si_li_allheal1"":""about a dream he had about a plant that could heal his illness""}",1,NA
SS1651678198123,US,allheal1,"{""si_li_allheal1"":""There is a plant that could cure his illness""}",1,NA
SS1651678202019,US,allheal1,"{""si_li_allheal1"":""The dreamed plant product, allheal.""}",1,NA
SS1651678206055,US,allheal1,"{""si_li_allheal1"":""to look for the plant allheal in the jungle if he finds it, he'll get a prize""}",1,NA
SS1651678216185,US,allheal1,"{""si_li_allheal1"":""His dream about a special plant called allheal""}",1,NA
SS1651678216437,US,allheal1,"{""si_li_allheal1"":""Only one plant could cure him.""}",1,NA
SS1651678218891,US,allheal1,"{""si_li_allheal1"":""He told him about the plant allheal""}",1,NA
SS1651678220434,US,allheal1,"{""si_li_allheal1"":""that he needed to find a plant to cure his illness""}",1,NA
SS1651678221331,US,allheal1,"{""si_li_allheal1"":""there was a plant called allheal that could help him get better. on an island far away.""}",1,NA
SS1651678224995,US,allheal1,"{""si_li_allheal1"":""About the dream""}",1,NA
SS1651678226524,US,allheal1,"{""si_li_allheal1"":""his dream""}",1,NA
SS1651678227696,US,allheal1,"{""si_li_allheal1"":""About his dream of allheal""}",1,NA
SS1651678229872,US,allheal1,"{""si_li_allheal1"":""to go talk to people""}",1,NA
SS1651678232565,US,allheal1,"{""si_li_allheal1"":""About his dream""}",1,NA
SS1651678239759,US,allheal1,"{""si_li_allheal1"":""He had a dream that there was a plant in the jungle that could heal him.""}",1,NA
SS1651678242246,US,allheal1,"{""si_li_allheal1"":""whoever found the plant would get a prize.""}",1,NA
SS1651678243882,US,allheal1,"{""si_li_allheal1"":""He told his son about the plant allheal that he dreamed about.""}",1,NA
SS1651678244241,US,allheal1,"{""si_li_allheal1"":""He dreamed of a plant that could heal him.""}",1,NA
SS1651678245327,US,allheal1,"{""si_li_allheal1"":""That allheal would fix him up.""}",1,NA
SS1651678246113,US,allheal1,"{""si_li_allheal1"":""He didn't tell him anything.""}",0,NA
SS1651678246330,US,allheal1,"{""si_li_allheal1"":""The businessman told his son about his dream that a plant called Allheal exists and where it is. ""}",1,NA
SS1651678248637,US,allheal1,"{""si_li_allheal1"":""about a plant far away called allheal that could cure him""}",1,NA
SS1651678248989,US,allheal1,"{""si_li_allheal1"":""About the dream that he had about finding this mysterious healing plant""}",1,NA
SS1651678249603,US,allheal1,"{""si_li_allheal1"":""That whoever found the \""Allheal\"" plant was going to get a prize.""}",1,NA
SS1651678250397,US,allheal1,"{""si_li_allheal1"":""He had a dream about a healing plant called allplant.""}",1,NA
SS1651678252363,US,allheal1,"{""si_li_allheal1"":""About his dream about the plant allheal.""}",1,NA
SS1651678252935,US,allheal1,"{""si_li_allheal1"":""I don't remember""}",0,NA
SS1651678253736,US,allheal1,"{""si_li_allheal1"":""that he had a dream about a planet""}",1,NA
SS1651678256204,US,allheal1,"{""si_li_allheal1"":""to get the mysterious plant""}",1,NA
SS1651678257395,US,allheal1,"{""si_li_allheal1"":""About a plant he'd dreamed of that could heal him.""}",1,NA
SS1651678258791,US,allheal1,"{""si_li_allheal1"":""That only a plant called allheal could cure his illness.""}",1,NA
SS1651678259296,US,allheal1,"{""si_li_allheal1"":""He told him about the dream he had of the mysterious plant called allheal.""}",1,NA
SS1651678260164,US,allheal1,"{""si_li_allheal1"":""That there's a plant called allheal that can cure him but it won't be easy to obtain.""}",1,NA
SS1651678260331,US,allheal1,"{""si_li_allheal1"":""That he had a dream about a plant called allheal in a jungle far away.""}",1,NA
SS1651678260663,US,allheal1,"{""si_li_allheal1"":""About the plant in his dream""}",1,NA
SS1651678261063,US,allheal1,"{""si_li_allheal1"":""whoever found the plant gets a prize""}",1,NA
SS1651678261912,US,allheal1,"{""si_li_allheal1"":""that whoever found the plant would get a prize""}",1,NA
SS1651678262590,US,allheal1,"{""si_li_allheal1"":""that he has early stage dementia and thinks a magical dream plant will cure him""}",1,NA
SS1651678262854,US,allheal1,"{""si_li_allheal1"":""About a dream he had.""}",1,NA
SS1651678263725,US,allheal1,"{""si_li_allheal1"":""about his dream about a plant that could heal him (allheal)""}",1,NA
SS1651678265100,US,allheal1,"{""si_li_allheal1"":""to find the allheal plant""}",1,NA
SS1651678265263,US,allheal1,"{""si_li_allheal1"":""He told his son about the dream of the plant that could cure him""}",1,NA
SS1651678267011,US,allheal1,"{""si_li_allheal1"":""That there was a plant in a jungle far away that could heal him.""}",1,NA
SS1651678267140,US,allheal1,"{""si_li_allheal1"":""There was a plant in a jungle that he dreampt of.""}",1,NA
SS1651678267405,US,allheal1,"{""si_li_allheal1"":""whoever found the plant would get a surprise""}",1,NA
SS1651678268119,US,allheal1,"{""si_li_allheal1"":""The dream that he had.""}",1,NA
SS1651678270245,US,allheal1,"{""si_li_allheal1"":""to find the allheal plant""}",1,NA
SS1651678270524,US,allheal1,"{""si_li_allheal1"":""He told him about his dream about the plant.""}",1,NA
SS1651678271326,US,allheal1,"{""si_li_allheal1"":""whoever found the plant would get a prize\n""}",1,NA
SS1651678274966,US,allheal1,"{""si_li_allheal1"":""whoever found the plant would get a prize\n""}",1,NA
SS1651678278178,US,allheal1,"{""si_li_allheal1"":""about a plant in his dream""}",1,NA
SS1651678298946,US,allheal1,"{""si_li_allheal1"":""Whoever could find the plant would get a prize. ""}",1,NA
SS1651678302508,US,allheal1,"{""si_li_allheal1"":""about a plant called allheal.""}",1,NA
SS1651678327719,US,allheal1,"{""si_li_allheal1"":""About the dream he had""}",1,NA
SS1651678328286,US,allheal1,"{""si_li_allheal1"":""The dream he had about the magical plant that could cure him""}",1,NA
SS1651678331156,US,allheal1,"{""si_li_allheal1"":""About the plant allheal""}",1,NA
SS1651678353530,US,allheal1,"{""si_li_allheal1"":""whoever found the plant gets a prize""}",1,NA
SS1651678384991,US,allheal1,"{""si_li_allheal1"":""The businessman told his son about his dream""}",1,NA
SS1651678386286,US,allheal1,"{""si_li_allheal1"":""to gather all the young men in the town""}",1,NA
SS1651678409670,US,allheal1,"{""si_li_allheal1"":""whoever found the healing plant gets a prize\n""}",1,NA
SS1651678434328,US,allheal1,"{""si_li_allheal1"":""That he had a dream about a plant called allheal that could cure him.""}",1,NA
SS1651678459452,US,allheal1,"{""si_li_allheal1"":""That he had a dream of a plant that heals all illnesses, called allheal.""}",1,NA
SS1651678462364,US,allheal1,"{""si_li_allheal1"":""He told his son about the dream he had.  The dream was about a special plant called allheal.  He though, or dreamed, that the leaves could cure him.""}",1,NA
SS1651678474300,US,allheal1,"{""si_li_allheal1"":""plant called allheal""}",1,NA
SS1651678537895,US,allheal1,"{""si_li_allheal1"":""That he had a dream about a plant that could cure him.""}",1,NA
SS1651678538948,US,allheal1,"{""si_li_allheal1"":""about his dream of a plant that could heal him""}",1,NA
SS1651678556653,US,allheal1,"{""si_li_allheal1"":""That he had a dream about allheal.""}",1,NA
SS1651678559284,US,allheal1,"{""si_li_allheal1"":""About the allheal plant""}",1,NA
SS1651678574838,US,allheal1,"{""si_li_allheal1"":""Whoever found the plant would win a prize.""}",1,NA
SS1651678625157,US,allheal1,"{""si_li_allheal1"":""That there was a plant that could heal him""}",1,NA
SS1651678626616,US,allheal1,"{""si_li_allheal1"":""The businessman told his son about his dream of the plant alheal.""}",1,NA
SS1651678637077,US,allheal1,"{""si_li_allheal1"":""He had dreamt about a plant called allheal ""}",1,NA
SS1651678701050,US,allheal1,"{""si_li_allheal1"":""About his dream of the healing plant""}",1,NA
SS1651678717637,US,allheal1,"{""si_li_allheal1"":""about the plant he dreamed could heal him""}",1,NA
SS1651678770686,US,allheal1,"{""si_li_allheal1"":""the plant he dreamed about""}",1,NA
SS1651678809453,US,allheal1,"{""si_li_allheal1"":""About his dream of a special plant called allheal that grows in a jungle on a small island.""}",1,NA
SS1651678955017,US,allheal1,"{""si_li_allheal1"":""The businessman told his son about his dream about the plant AllHeal in the jungle far away.""}",1,NA
SS1651679034205,US,allheal1,"{""si_li_allheal1"":""about a plant called allheal that would cure his illness""}",1,NA
SS1651679448134,US,allheal1,"{""si_li_allheal1"":""To find a plant called allheal""}",1,NA
SS1651679534071,US,allheal1,"{""si_li_allheal1"":""That he had a dream about an all healing plant in the jungle.""}",1,NA
SS1651679569580,US,allheal1,"{""si_li_allheal1"":""that he had a dream about the plane""}",1,NA
SS1651679629301,US,allheal1,"{""si_li_allheal1"":""to get everyone""}",1,NA
SS1651679984067,US,allheal1,"{""si_li_allheal1"":""That he wanted his friends' help in finding a plant to help cure his illness. Whoever finds the plant will win a prize.""}",1,NA
SS1651680129189,US,allheal1,"{""si_li_allheal1"":""whoever found the plant would get a prize""}",1,NA
SS1651680530568,US,allheal1,"{""si_li_allheal1"":""The whoever found the plant would get a prize. ""}",1,NA
SS1651680818305,US,allheal1,"{""si_li_allheal1"":""about the plant""}",1,NA
SS1651680994828,US,allheal1,"{""si_li_allheal1"":""He told him about his dream""}",1,NA
SS1651681877580,US,allheal1,"{""si_li_allheal1"":""gather all the men in town to look for a plant""}",1,NA
SS1651682805154,US,allheal1,"{""si_li_allheal1"":""about his dream""}",1,NA
SS1651687447221,US,allheal1,"{""si_li_allheal1"":""That whoever found the plant would receive a reward. ""}",1,NA
SS1651689857645,US,allheal1,"{""si_li_allheal1"":""about allheal plant""}",1,NA
SS1651690446636,US,allheal1,"{""si_li_allheal1"":""To find the rare plant.""}",1,NA
SS1651690626669,US,allheal1,"{""si_li_allheal1"":""about the plant that would heal him, in a jungle far away""}",1,NA
SS1651690672320,US,allheal1,"{""si_li_allheal1"":""He said there was a miraculous plant called allheal.""}",1,NA
SS1651690674639,US,allheal1,"{""si_li_allheal1"":""allheal""}",1,NA
SS1651690678231,US,allheal1,"{""si_li_allheal1"":""about his dream about the plant that healed him""}",1,NA
SS1651690678388,US,allheal1,"{""si_li_allheal1"":""whoever found the allheal plant would get a prize""}",1,NA
SS1651690681690,US,allheal1,"{""si_li_allheal1"":""About the plant that would help cure him""}",1,NA
SS1651690683219,US,allheal1,"{""si_li_allheal1"":""He had a dream about a plant that could heal him.""}",1,NA
SS1651690685286,US,allheal1,"{""si_li_allheal1"":""He told him his dream about the plant that might cure him.""}",1,NA
SS1651690687499,US,allheal1,"{""si_li_allheal1"":""For him and friends to find the allheal""}",1,NA
SS1651690687538,US,allheal1,"{""si_li_allheal1"":""whoever found cure will get a prize""}",1,NA
SS1651690691047,US,allheal1,"{""si_li_allheal1"":""That he dreamt of a plant called allheal that would cure his illness""}",1,NA
SS1651690691327,US,allheal1,"{""si_li_allheal1"":""about the plant that would help him from his dream""}",1,NA
SS1651690698980,US,allheal1,"{""si_li_allheal1"":""To gather up the town's young men""}",1,NA
SS1651690706045,US,allheal1,"{""si_li_allheal1"":""about the allheal plant to cure his illness""}",1,NA
SS1651690707343,US,allheal1,"{""si_li_allheal1"":""that he can get the plant""}",1,NA
SS1651690707467,US,allheal1,"{""si_li_allheal1"":""That he woul dget the prize""}",1,NA
SS1651690708015,US,allheal1,"{""si_li_allheal1"":""He told his son about a dream he had. In the dream, he saw a plant called allheal that could help with his illness. It only grows in a jungle far away.""}",1,NA
SS1651690711805,US,allheal1,"{""si_li_allheal1"":""His dream""}",1,NA
SS1651690714289,US,allheal1,"{""si_li_allheal1"":""he found a plant""}",1,NA
SS1651690719363,US,allheal1,"{""si_li_allheal1"":""that whoever found the plant would get a surprise""}",1,NA
SS1651690719510,US,allheal1,"{""si_li_allheal1"":""He told his son that he had a dream about a plant called allheal.""}",1,NA
SS1651690723933,US,allheal1,"{""si_li_allheal1"":""About his dream involving a plant that could cure his illness""}",1,NA
SS1651690727662,US,allheal1,"{""si_li_allheal1"":""Whoever found the plant would win a prize.""}",1,NA
SS1651690727759,US,allheal1,"{""si_li_allheal1"":""where to find the plant""}",1,NA
SS1651690729593,US,allheal1,"{""si_li_allheal1"":""that he had a dream about a plant on a mountain that would heal him called allheal""}",1,NA
SS1651690730467,US,allheal1,"{""si_li_allheal1"":""whoever found the plant would get the prize""}",1,NA
SS1651690731537,US,allheal1,"{""si_li_allheal1"":""About his dream of the healing plant that only grew on an island far away.""}",1,NA
SS1651690732177,US,allheal1,"{""si_li_allheal1"":""find the plant""}",1,NA
SS1651690735020,US,allheal1,"{""si_li_allheal1"":""that only one plant would help him and it was the allheal plant that growed in a forest far away""}",1,NA
SS1651690735532,US,allheal1,"{""si_li_allheal1"":""to find the allheal plant""}",1,NA
SS1651690737808,US,allheal1,"{""si_li_allheal1"":""That he dreamed of a plant that could cure him.""}",1,NA
SS1651690740366,US,allheal1,"{""si_li_allheal1"":""About a dream he had about the allheal plant. ""}",1,NA
SS1651690741486,US,allheal1,"{""si_li_allheal1"":""He told his son about his dream of Allheal and generally where to find it.""}",1,NA
SS1651690741942,US,allheal1,"{""si_li_allheal1"":""About his dream.""}",1,NA
SS1651690743939,US,allheal1,"{""si_li_allheal1"":""He needed a plant to heal him called allheal.""}",1,NA
SS1651690748106,US,allheal1,"{""si_li_allheal1"":""about the plant that could heal him in his dream""}",1,NA
SS1651690758188,US,allheal1,"{""si_li_allheal1"":""to get his friends to help find the plant""}",1,NA
SS1651690762770,US,allheal1,"{""si_li_allheal1"":""whoever found the mysterious plant would get a prize\n""}",1,NA
SS1651690768899,US,allheal1,"{""si_li_allheal1"":""About his dream about the plant""}",1,NA
SS1651690793463,US,allheal1,"{""si_li_allheal1"":""about a plant called allheal on the island""}",1,NA
SS1651690802568,US,allheal1,"{""si_li_allheal1"":""There was a plant that could cure his illness.""}",1,NA
SS1651690810190,US,allheal1,"{""si_li_allheal1"":""to find the plant""}",1,NA
SS1651690858692,US,allheal1,"{""si_li_allheal1"":""whoever finds the plant will get a prize""}",1,NA
SS1651690873357,US,allheal1,"{""si_li_allheal1"":""He was sick and needed help. ""}",1,NA
SS1651690892118,US,allheal1,"{""si_li_allheal1"":""He told him about his dream.""}",1,NA
SS1651690898679,US,allheal1,"{""si_li_allheal1"":""he told his son about his dream.""}",1,NA
SS1651690926515,US,allheal1,"{""si_li_allheal1"":""About his dream of the allheal plant""}",1,NA
SS1651690932141,US,allheal1,"{""si_li_allheal1"":""about his dream about allheal.""}",1,NA
SS1651690949027,US,allheal1,"{""si_li_allheal1"":""Whoever could find the plant would get a mysterious prize""}",1,NA
SS1651691043519,US,allheal1,"{""si_li_allheal1"":""about the plant allheal that he saw in his dream""}",1,NA
SS1651691175620,US,allheal1,"{""si_li_allheal1"":""He saw a dream about a plant that could cure him""}",1,NA
SS1651691207769,US,allheal1,"{""si_li_allheal1"":""That he had a dream about a plant called Allheal which grew on an island and could cure anything.""}",1,NA
SS1651691673018,US,allheal1,"{""si_li_allheal1"":""That whoever could get the allheal plant would receive a generous prize""}",1,NA
SS1651692016531,US,allheal1,"{""si_li_allheal1"":""About the special plant \""Allheal\""""}",1,NA
SS1651692160397,US,allheal1,"{""si_li_allheal1"":""about a plant called allheal, and that whoever found it would get a prize""}",1,NA
SS1651694070275,US,allheal1,"{""si_li_allheal1"":""about his dream""}",1,NA
SS1651697396411,US,allheal1,"{""si_li_allheal1"":""help him find allheal""}",1,NA
SS1651868487521,US,allheal1,"{""si_li_allheal1"":""told his son about the dream""}",1,NA
SS1651868699067,US,allheal1,"{""si_li_allheal1"":""He told his son about his dream.""}",1,NA
SS1651868701012,US,allheal1,"{""si_li_allheal1"":""the plant allheal he dreamt about""}",1,NA
SS1651868705438,US,allheal1,"{""si_li_allheal1"":""About the plant Allheal that could cure him.""}",1,NA
SS1651868707186,US,allheal1,"{""si_li_allheal1"":""The businessman told his son about a plant he dreamed about called 'allheal'.""}",1,NA
SS1651868708760,US,allheal1,"{""si_li_allheal1"":""he told him about the plant that he dreamed could cure his illness""}",1,NA
SS1651868710355,US,allheal1,"{""si_li_allheal1"":""He told his son about the dream he had""}",1,NA
SS1651868712524,US,allheal1,"{""si_li_allheal1"":""That there is a plant that is indigenous to a jungle far away from Newrock. The first person to find this plant would receive a prize.""}",1,NA
SS1651868713554,US,allheal1,"{""si_li_allheal1"":""Whoever found the plant would get a prize.""}",1,NA
SS1651868714312,US,allheal1,"{""si_li_allheal1"":""He told his son he had a dream about a plant in a place far away, and that in the dream the plant could cure his disease.""}",1,NA
SS1651868714404,US,allheal1,"{""si_li_allheal1"":""They wanted to find the plant and whoever found the plant would get a prize. ""}",1,NA
SS1651868716048,US,allheal1,"{""si_li_allheal1"":""He told him about the allheal plant and his desire for it.""}",1,NA
SS1651868717843,US,allheal1,"{""si_li_allheal1"":""They will find the plant.""}",1,NA
SS1651868718682,US,allheal1,"{""si_li_allheal1"":""That he dreamt of a plant and gathering people who could help find it and that person would get a prize.""}",1,NA
SS1651868720723,US,allheal1,"{""si_li_allheal1"":""The businessman told his son that he had a dream that there is a plant called Allheal that will make him feel better. ""}",1,NA
SS1651868725160,US,allheal1,"{""si_li_allheal1"":""That he needed a plant to heal and he would give a prize to whoever found it.\n""}",1,NA
SS1651868731784,US,allheal1,"{""si_li_allheal1"":""unknown""}",0,NA
SS1651868736601,US,allheal1,"{""si_li_allheal1"":""About his dream involving a plant named allwell that could heal him.""}",1,NA
SS1651868738305,US,allheal1,"{""si_li_allheal1"":""About the medicine he had saw in his dream""}",1,NA
SS1651868744832,US,allheal1,"{""si_li_allheal1"":""Fund""}",0,NA
SS1651868744957,US,allheal1,"{""si_li_allheal1"":""To help him find the plant ""}",1,NA
SS1651868745180,US,allheal1,"{""si_li_allheal1"":""that there is a plant that can cure him.""}",1,NA
SS1651868745703,US,allheal1,"{""si_li_allheal1"":""That he was sick and the cure was a plant called allheal.""}",1,NA
SS1651868751261,US,allheal1,"{""si_li_allheal1"":""about his dream""}",1,NA
SS1651868754302,US,allheal1,"{""si_li_allheal1"":""about a plant in a jungle called allheal""}",1,NA
SS1651868755995,US,allheal1,"{""si_li_allheal1"":""That there was a plant on a faraway island that could heal him.""}",1,NA
SS1651868756130,US,allheal1,"{""si_li_allheal1"":""that the allheal plant would save him""}",1,NA
SS1651868757005,US,allheal1,"{""si_li_allheal1"":""about a plant that could cure him""}",1,NA
SS1651868761529,US,allheal1,"{""si_li_allheal1"":""about the plant allheal""}",1,NA
SS1651868767690,US,allheal1,"{""si_li_allheal1"":""whoever found the plant would get a prize""}",1,NA
SS1651868773205,US,allheal1,"{""si_li_allheal1"":""He told his son that we was sick.""}",1,NA
SS1651868778604,US,allheal1,"{""si_li_allheal1"":""The businessman told his son about the dream he had about a plant called Allheal which would cure his sickness""}",1,NA
SS1651868779378,US,allheal1,"{""si_li_allheal1"":""That who ever finds it will get a prize.""}",1,NA
SS1651868780067,US,allheal1,"{""si_li_allheal1"":""whoever found the heal plant woukd get a prize""}",1,NA
SS1651868782330,US,allheal1,"{""si_li_allheal1"":""About the plant he saw in his dream. ""}",1,NA
SS1651868783532,US,allheal1,"{""si_li_allheal1"":""about the allheal plant""}",1,NA
SS1651868784777,US,allheal1,"{""si_li_allheal1"":""Anyone who gets the allheal plant will get a prize.""}",1,NA
SS1651868788340,US,allheal1,"{""si_li_allheal1"":""Find the plant.""}",1,NA
SS1651868788402,US,allheal1,"{""si_li_allheal1"":""To gather the all heal plant. To gather all the young men in town to help find it. Finally, whoever found the plant would get a prize.""}",1,NA
SS1651868793732,US,allheal1,"{""si_li_allheal1"":""Whoever found the plant would get a prize.""}",1,NA
SS1651868796147,US,allheal1,"{""si_li_allheal1"":""He told him about his dream.""}",1,NA
SS1651868796810,US,allheal1,"{""si_li_allheal1"":""His dream about the special plant, allheal""}",1,NA
SS1651868799606,US,allheal1,"{""si_li_allheal1"":""about his dream of the allheal plant in the jungle""}",1,NA
SS1651868800189,US,allheal1,"{""si_li_allheal1"":""Who are the businessmen? The son's father told him he needed this plant, the son asked the local men to help him""}",1,NA
SS1651868802451,US,allheal1,"{""si_li_allheal1"":""About his dream of the allheal cure""}",1,NA
SS1651868810933,US,allheal1,"{""si_li_allheal1"":""He dreamed about a plant and to go tell the town whoever finds it first gets a prize""}",1,NA
SS1651868811761,US,allheal1,"{""si_li_allheal1"":""About a plant called allheal that his dream told him could cure his illness.""}",1,NA
SS1651868811860,US,allheal1,"{""si_li_allheal1"":""That he had dreamed of a plant that would cure him, but this plant was very far away.\n""}",1,NA
SS1651868812123,US,allheal1,"{""si_li_allheal1"":""about the plant""}",1,NA
SS1651868816028,US,allheal1,"{""si_li_allheal1"":""Find the healing plant""}",1,NA
SS1651868817160,US,allheal1,"{""si_li_allheal1"":""to gather the men in town and whoever found the plant would get a prize""}",1,NA
SS1651868817171,US,allheal1,"{""si_li_allheal1"":""That the plant could cure him""}",1,NA
SS1651868820237,US,allheal1,"{""si_li_allheal1"":""about the magical plant allheal""}",1,NA
SS1651868826063,US,allheal1,"{""si_li_allheal1"":""to find the plant that would heal""}",1,NA
SS1651868827795,US,allheal1,"{""si_li_allheal1"":""He told him about his dream.""}",1,NA
SS1651868828049,US,allheal1,"{""si_li_allheal1"":""To find a special plant and give out a prize when it's located by an individual.""}",1,NA
SS1651868830966,US,allheal1,"{""si_li_allheal1"":""a plant and its location\n""}",1,NA
SS1651868834466,US,allheal1,"{""si_li_allheal1"":""he had a dream about a plant far away""}",1,NA
SS1651868836129,US,allheal1,"{""si_li_allheal1"":""how to get the all heal plant""}",1,NA
SS1651868837282,US,allheal1,"{""si_li_allheal1"":""That a plant called allheal could cure his illness, but it was far away.""}",1,NA
SS1651868839147,US,allheal1,"{""si_li_allheal1"":""Whoever finds the plant will get a prize""}",1,NA
SS1651868839906,US,allheal1,"{""si_li_allheal1"":""where to find a mysterious plant""}",1,NA
SS1651868840289,US,allheal1,"{""si_li_allheal1"":""About his dream in which he learned about a plant that would cure him called Allheal.""}",1,NA
SS1651868840790,US,allheal1,"{""si_li_allheal1"":""He had a dream that a plant called cureall was far away and that it could make him better. ""}",1,NA
SS1651868850581,US,allheal1,"{""si_li_allheal1"":""That there is a plant that can cure him called allheal""}",1,NA
SS1651868852345,US,allheal1,"{""si_li_allheal1"":""Find the mysterious plant\n""}",1,NA
SS1651868868975,US,allheal1,"{""si_li_allheal1"":""Help him find a plant ""}",1,NA
SS1651868873914,US,allheal1,"{""si_li_allheal1"":""about a plant on an island that could cure the businessman""}",1,NA
SS1651868876318,US,allheal1,"{""si_li_allheal1"":""to find the plant""}",1,NA
SS1651868901145,US,allheal1,"{""si_li_allheal1"":""to gather all the people in town to help him look for this plant""}",1,NA
SS1651868924360,US,allheal1,"{""si_li_allheal1"":""About the allheal plant""}",1,NA
SS1651868966456,US,allheal1,"{""si_li_allheal1"":""About a plant called allheal that he saw in a dream""}",1,NA
SS1651869014963,US,allheal1,"{""si_li_allheal1"":""that he dreamed a plant called allheal could cure him, and that it grew in a jungle far away.""}",1,NA
SS1651869017878,US,allheal1,"{""si_li_allheal1"":""He told him about the plant that could cure his illness""}",1,NA
SS1651869021473,US,allheal1,"{""si_li_allheal1"":""about a plant called allheal ""}",1,NA
SS1651869024622,US,allheal1,"{""si_li_allheal1"":""That there was a plant called allheal that could cure him, but it was in a jungle far away.""}",1,NA
SS1651869038791,US,allheal1,"{""si_li_allheal1"":""To gather up people and ask them to find the allheal plant.""}",1,NA
SS1651869076619,US,allheal1,"{""si_li_allheal1"":""That there was a plant called the allheal and anyone who find it would get a prize""}",1,NA
