subject,culture,prompt,response,correct,coder
SS1651868793732,US,Description0,The design on the tail of the plane turns from white to yellow.,1,abc
SS1651868796147,US,Description0,the design on the tail of the aircraft changes colors,1,abc
SS1651868796810,US,Description0,the three diamonds on the red plane are different colors (white/yellow),1,abc
SS1651868799606,US,Description0,the diamonds on the red planes tailfins are either white or yellow,1,abc
SS1651868800189,US,Description0,The diamonds on the plane tale go from white to yellow,1,abc
SS1651868802451,US,Description0,yellow diamonds disappear to just white,1,abc
SS1651868810933,US,Description0,airplane tail color,1,abc
SS1651868811761,US,Description0,the decals on the red plane change from white to yellow,1,abc
SS1651868811860,US,Description0,Paint trims on the red plane change color from white to yellow,1,abc
SS1651868812123,US,Description0,the diamond colors on the tail of the air plane are yellow or grey depending on the picture,1,abc
SS1651868816028,US,Description0,The design on the plane switches between yellow and white,1,abc
SS1651868817160,US,Description0,diamond color,1,abc
SS1651868817171,US,Description0,none,0,abc
SS1651868820237,US,Description0,diamonds turn from yellow to white,1,abc
SS1651868826063,US,Description0,the color on the red air[plane is different,1,abc
SS1651868827795,US,Description0,The color on the plane that is diamond shape is yellow.,1,abc
SS1651868828049,US,Description0,Diamonds change from white to yellow,1,abc
SS1651868830966,US,Description0,tail shape colors change ,1,abc
SS1651868834466,US,Description0,he color of the diamonds on the plane change,1,abc
SS1651868836129,US,Description0,colors on the tail fin,1,abc
SS1651868837282,US,Description0,yellow to white diamonds on red plane,1,abc
SS1651868839147,US,Description0,the tail of the plane is in a different color,1,abc
SS1651868839906,US,Description0,the diamonds on the plane change between white and yellow,1,abc
SS1651868840289,US,Description0,"In one of the images the accents on the red plane are gray, and in the other image the accents on the red plane are yellow.",1,abc
SS1651868840790,US,Description0,"The vintage, red single plane is facing the opposite direction of the smaller white plane.",0,abc
SS1651868850581,US,Description0,Color of diamonds on airplane,1,abc
SS1651868852345,US,Description0,tail fin colors,1,abc
SS1651868868975,US,Description0,colors on back of red plain go from yellow to white,1,abc
SS1651868873914,US,Description0,diamond on red plane alternates color,1,abc
SS1651868876318,US,Description0,the 3 yellow tailmarks on the plane change,1,abc
SS1651868901145,US,Description0,the yellow vs. white decorations,1,abc
SS1651868924360,US,Description0,the diamond color is yellow or white,1,abc
SS1651868966456,US,Description0,The diamonds on the back of the plane are either white or yellow.,1,abc
SS1651869014963,US,Description0,color of diamonds on the red plane,1,abc
SS1651869017878,US,Description0,The diamonds on the red airplane are yellow in one image and grey in the other,1,abc
SS1651869021473,US,Description0,yellow to white accents on plane ,1,abc
SS1651869024622,US,Description0,diamonds on tail of plane were a different color,1,abc
SS1651869038791,US,Description0,The diamonds on the red plane are colored differently.,1,abc
SS1651869076619,US,Description0,Some of the decals of the plane was shifting from white to yellow,1,abc
SS1651869096666,US,Description0,plane diamond color,1,abc
SS1651869107778,US,Description0,the tail of the plane has trianges that change color,1,abc
SS1651869115143,US,Description0,Plane Decal goes from white to yellow.,1,abc
SS1651869117517,US,Description0,the color of the designs on the tail of the plane are different,1,abc
SS1651869119140,US,Description0,The diamonds on the plane's tail were changing from white to yellow.,1,abc
SS1651869128913,US,Description0,The diamonds on the red plane change from white to yellow,1,abc
SS1651869192697,US,Description0,The diamonds on the plane tail go from yellow to white,1,abc
SS1651869198002,US,Description0,the palne's tail markings are a different color,1,abc
SS1651869512955,US,Description0,The diamonds shape decals on the red airplane are yellow,1,abc
SS1651869609511,US,Description0,The decals on the plane turn to yellow.,1,abc
SS1651869808693,US,Description0,unknown,0,abc
SS1651869849200,US,Description0,Yellow diamonds,1,abc
SS1651870014949,US,Description0,The color of the biplane's insignia,1,abc
SS1651870238624,US,Description0,The diamonds on the rear fin of the plane were yellow in one and white in the other.,1,abc
SS1651870376242,US,Description0,The diamond on the red plane changes color,1,abc
SS1651870443746,US,Description0,the diamonds on the back of the plane is white/yellow,1,abc
SS1651871550730,US,Description0,diamonds yellow to white,1,abc
SS1651871841115,US,Description0,unknown,0,abc
SS1651871889261,US,Description0,The diamond shapes on the plane are different colors,1,abc
SS1651872480719,US,Description0,Details on the tail of the red plane are different colors.,1,abc
SS1651873332890,US,Description0,the sticker on the tail changes colors,1,abc
SS1651873359386,US,Description0,The diamonds on the plane are yellow vs. white,1,abc
SS1651878926426,US,Description0,the color of the tail insignia on the red plane,1,abc
SS1651878928252,US,Description0,color of diamonds on plane,1,abc
SS1651616817210,US,Description1,the yellow copter moves up and down,1,abc
SS1651616819170,US,Description1,the helicopter is higher/lower,1,abc
SS1651616821119,US,Description1,position of helicopter,1,abc
SS1651616823657,US,Description1,helicopter moves up and down,1,abc
SS1651616824013,US,Description1,The helicopter is ready to landing.,1,abc
SS1651616827589,US,Description1,things under feusalge,1,abc
SS1651616829561,US,Description1,helicopter is lower in one pic,1,abc
SS1651616834023,US,Description1,the helicoptor changes height,1,abc
SS1651616835091,US,Description1,The yellow helicoptor moved,1,abc
SS1651616837719,US,Description1,The position of the helicopter changes.,1,abc
SS1651616838947,US,Description1,The helicopter moves up slightly,1,abc
SS1651616839031,US,Description1,helicopter changes level,1,abc
SS1651616839120,US,Description1,helicopter is lower,1,abc
SS1651616839551,US,Description1,position of helicopter ,1,abc
SS1651616839622,US,Description1,helicopter moves vertically,1,abc
SS1651616840889,US,Description1,The yellow helicopter's position changes slightly.,1,abc
SS1651616841722,US,Description1,The helicopter is higher up.,1,abc
SS1651616841972,US,Description1,The helecoptor moved up and down,1,abc
SS1651616843053,US,Description1,the helicoptor blade was changing,1,abc
SS1651616844450,US,Description1,helicopter moves position,1,abc
SS1651616844684,US,Description1,helicopter height difference,1,abc
SS1651616844911,US,Description1,helicopter moves up and down,1,abc
SS1651616846951,US,Description1,the heli is lower,1,abc
SS1651616850845,US,Description1,the helicopter is above the ground,1,abc
SS1651616854167,US,Description1,heliopter moves up and down,1,abc
SS1651616854402,US,Description1,Thr helicopter is slightly off the ground in one.,1,abc
SS1651616857792,US,Description1,unknown,0,abc
SS1651616858489,US,Description1,the hellicoptor is miving,1,abc
SS1651616858633,US,Description1,the helecopter is in a different position on the ground.,1,abc
SS1651616860080,US,Description1,The yellow helicopter is nearer to the observer in one picture than the other,1,abc
SS1651616860708,US,Description1,helicopter height,1,abc
SS1651616861128,US,Description1,blade movement,1,abc
SS1651616861546,US,Description1,helicopter lifting off ground,1,abc
SS1651616863114,US,Description1,The position of the helicopter is different. ,1,abc
SS1651616863145,US,Description1,The helicopter has lifted from the ground,1,abc
SS1651616876627,US,Description1,half of the plane's attachment is missing in one picture,1,abc
SS1651616909217,US,Description1,the helicopter is in different positions,1,abc
SS1651616969092,US,Description1,the helicopter is a little lower ,1,abc
SS1651616982939,US,Description1,The elevation of the helicopter changes.,1,abc
SS1651617013503,US,Description1,helicopter postion,1,abc
SS1651617033971,US,Description1,in the air,1,abc
SS1651617071100,US,Description1,the position of the helicopter,1,abc
SS1651617143573,US,Description1,The helicopter takes off,1,abc
SS1651617282312,US,Description1,the helicopter is flying lower in one image,1,abc
SS1651617310480,US,Description1,the helicopter is lower to the ground in one image and higher off the ground in the other image.,1,abc
SS1651624230659,US,Description1,the helicopter is in the air more,1,abc
SS1651678198123,US,Description1,The helicopter moves down,1,abc
SS1651678202019,US,Description1,Relative position of yellow helicopter toggles approximately one inch in height position,1,abc
SS1651678206055,US,Description1,the helicopter is slightly lower in one photo than in the second photo,1,abc
SS1651678216185,US,Description1,One helicopter was closer to the airplane,1,abc
SS1651678216437,US,Description1,the distance of the helicopter to the ground,1,abc
SS1651678218891,US,Description1,the helo is closer to the photographer in the second,1,abc
SS1651678220434,US,Description1,different vehicles,0,abc
SS1651678221331,US,Description1,the helicopter in the foreground is on the line in one and shifted inside on the other,1,abc
SS1651678224995,US,Description1,position of the jet,0,abc
SS1651678226524,US,Description1,shadow on airplane,1,abc
SS1651678227696,US,Description1,The helicopter moves,1,abc
SS1651678229872,US,Description1,the helicopter moving up,1,abc
SS1651678232565,US,Description1,Helo altitude changes position as does man in background,1,abc
SS1651678239759,US,Description1,The yellow helicopter in the front seems to be a little higher in one picture and a little lower in the other picture.,1,abc
SS1651678242246,US,Description1,black stripe on the person,1,abc
SS1651678243882,US,Description1,The position of the helicopter is slightly different,1,abc
SS1651678244241,US,Description1,The helicopter is higher from the ground in one picture compared to the other.,1,abc
SS1651678245327,US,Description1,The blades of the helicopter,1,abc
SS1651678246113,US,Description1,"one is a plane, the other is a helicopter ",0,abc
SS1651678246330,US,Description1,The helicopter roter is longer and shorter,1,abc
SS1651678248637,US,Description1,The helicopter is in a different position.,1,abc
SS1651678248989,US,Description1,The altitude of the helicopter,1,abc
SS1651678249603,US,Description1,The helicopter is higher in one photo.,1,abc
SS1651678250397,US,Description1,The blade of the helicoptor,1,abc
SS1651678252363,US,Description1,The helicopter moved up and down.,1,abc
SS1651678252935,US,Description1,helicopter moved,1,abc
SS1651678253736,US,Description1,unknown,0,abc
SS1651678256204,US,Description1,Something missing under the tail of the plane,1,abc
SS1651678257395,US,Description1,The helicopter is higher in one of the photos.,1,abc
SS1651678258791,US,Description1,Altitude of helicopter,1,abc
SS1651678259296,US,Description1,height of helicopter changes,1,abc
SS1651678260164,US,Description1,Position of helicopter,1,abc
SS1651678260331,US,Description1,The helicoptwer is in different positions in the two photos.,1,abc
SS1651678260663,US,Description1,"In one picture, the yellow helicopter is lower than in the other.",1,abc
SS1651678261063,US,Description1,the helicopter is closer to the ground in one,1,abc
SS1651678261912,US,Description1,helicopter is higher in one,1,abc
SS1651678262590,US,Description1,helicopter is higher up in one ,1,abc
SS1651678262854,US,Description1,The helicopter moves vertically,1,abc
SS1651678263725,US,Description1,lhelicopter higher up / different position from the white line,1,abc
SS1651678265100,US,Description1,placement of helicopter,1,abc
SS1651678265263,US,Description1,The helicopter is closer to the ground in one of the pictures.,1,abc
SS1651678267011,US,Description1,The helicopter moves up and down. The helicopter is higher in one picture but lower in the next.,1,abc
SS1651678267140,US,Description1,Helocopter moves up and down,1,abc
SS1651678267405,US,Description1,the helicopter is closer to the yellow line in one pic,1,abc
SS1651678268119,US,Description1,Helicopter lifted slightly more off the ground.,1,abc
SS1651678270245,US,Description1,helicopter is higher in one,1,abc
SS1651678270524,US,Description1,the helicopter has moved hight,1,abc
SS1651678271326,US,Description1,The yellow helicopter is higher up in one picture than in the other.,1,abc
SS1651678274966,US,Description1,yellow plane moves up and down,1,abc
SS1651678278178,US,Description1,helicopter position,1,abc
SS1651678298946,US,Description1,helipcopter position,1,abc
SS1651678302508,US,Description1,The helicopter is lower in one image.,1,abc
SS1651678327719,US,Description1,The helicopter is in a different spot,1,abc
SS1651678328286,US,Description1,"The helicopter in the front moves ""up/down"" slightly, from on the yellow line to above the line",1,abc
SS1651678331156,US,Description1,The height of the helicopter in front has changed,1,abc
SS1651678353530,US,Description1,the position of the helicopter,1,abc
SS1651678384991,US,Description1,unknown,0,abc
SS1651678386286,US,Description1,the helicopter keeps moving back and forth,1,abc
SS1651678409670,US,Description1,the propeller covers the man in the back in only one image,1,abc
SS1651678434328,US,Description1,altitude of the helicopter slightly different between the pictures,1,abc
SS1651678459452,US,Description1,The helicopter was higher up in one image,1,abc
SS1651678462364,US,Description1,"The helicopter is higher, or lower, in the images.",1,abc
SS1651678474300,US,Description1,helicopter,1,abc
SS1651678537895,US,Description1,Half of the helicopter blade is in one photo but not the other.,1,abc
SS1651678538948,US,Description1,helicopter got lower,1,abc
SS1651678556653,US,Description1,"Elevation of helicopter, and stride stage of people in background.",1,abc
SS1651678559284,US,Description1,The helicopters position changes slightly from up or down,1,abc
SS1651678574838,US,Description1,Helicopter position.,1,abc
SS1651678625157,US,Description1,The helicopter is flying a little higher in one and a little lower in the other,1,abc
SS1651678626616,US,Description1,The helicopter has moved further up. ,1,abc
SS1651678637077,US,Description1,the position of the helecopter.,1,abc
SS1651678701050,US,Description1,the helicopter is moved up,1,abc
SS1651678717637,US,Description1,helicopter is lower in one pic,1,abc
SS1651678770686,US,Description1,there are different amounts of people under the plane,0,abc
SS1651678809453,US,Description1,the height of the helicopter,1,abc
SS1651678955017,US,Description1,The left helicopter blade keeps shifting up and down.,1,abc
SS1651679034205,US,Description1,tall of yellow plane moves,1,abc
