subject,circle_id,circle_number,codeable,me_circle,x,y,radius
SS1609558311223,circle145,1,1,1,341,112,64.41273166
SS1609558311223,circle145,2,1,0,209,132,73.75635566
SS1609558311223,circle145,3,1,0,427,119,96.56603958
SS1609558579549,circle146,1,1,1,213,146,72.09022125
SS1609558579549,circle146,2,1,0,416,197,69.63476143
SS1609558579549,circle146,3,1,0,164,304,68.15423685
SS1609558648415,circle147,1,0,0,310,255,144.2775104
SS1609558865004,circle148,1,1,1,273,234,47.07440918
SS1609558865004,circle148,2,1,0,383,264,44.94441011
SS1609558865004,circle148,3,1,0,501,259,65.80273551
SS1609558865004,circle148,4,1,0,289,381,47.80167361
SS1609558915600,circle149,1,1,1,346,165,66.60330322
SS1609558915600,circle149,2,1,0,479,71,34.13209633
SS1609558915600,circle149,3,1,0,446,133,48.16637832
SS1609558915600,circle149,4,1,0,373,37,25.07987241
SS1609559068101,circle150,1,1,1,203,124,53.85164807
SS1609559068101,circle150,2,1,0,112,280,104.5801128
SS1609559068101,circle150,3,1,0,292,116,136.6821129
SS1609559068101,circle150,4,1,0,442,410,46.86149806
SS1609559083061,circle151,1,1,1,331,206,114.5425685
SS1609559083061,circle151,2,1,0,456,374,95.21029356
SS1609559083061,circle151,3,1,0,146,384,114.2147101
SS1609559085732,circle152,1,1,1,318,100,58.05170109
SS1609559085732,circle152,2,1,0,454,48,122.0655562
SS1609559085732,circle152,3,1,0,224,132,63.3245608
SS1609559365934,circle153,1,1,1,101,117,77.41446893
SS1609559365934,circle153,2,1,0,324,110,94.9368211
SS1609559365934,circle153,3,1,0,151,294,81.63332653
SS1609559365934,circle153,4,1,0,402,368,101.1780609
SS1609559549296,circle154,1,1,1,364,179,94.64142856
SS1609559549296,circle154,2,1,0,559,148,88.68483523
SS1609559549296,circle154,3,1,0,230,398,84.29116205
SS1609559549296,circle154,4,1,0,515,320,82.37718131
SS1609559549296,circle154,5,1,0,403,451,81.68843247
SS1609559549296,circle154,6,1,0,63,95,71.28113355
SS1609559549296,circle154,7,1,0,76,218,53
SS1609559549296,circle154,8,1,0,154,157,38.60051813
SS1609559668779,circle155,1,1,1,252,252,61.46543744
SS1609559668779,circle155,2,1,0,349,205,48.75448697
SS1609559668779,circle155,3,1,0,345,292,40.49691346
SS1609559802162,circle156,1,1,0,189,124,52.32590181
SS1609559802162,circle156,2,1,0,280,189,49.04079934
SS1609559802162,circle156,3,1,0,200,277,51.42956348
SS1609559802162,circle156,4,1,0,287,249,40.36087214
SS1609559802162,circle156,5,1,1,156,365,44.40720662
SS1609559802162,circle156,6,1,0,249,344,38.28837944
SS1609559819130,circle157,1,1,0,428,174,89.18520057
SS1609559819130,circle157,2,1,1,203,356,33.9705755
SS1609559819130,circle157,3,1,0,495,319,63.82005954
SS1609560168328,circle158,1,1,1,97,98,68.9637586
SS1609560168328,circle158,2,1,0,251,213,113.9517442
SS1609560168328,circle158,3,1,0,497,78,73.23933369
SS1609560168328,circle158,4,1,0,421,320,227.4818674
SS1609560168328,circle158,5,1,0,91,385,178.8910283
SS1609560168328,circle158,6,1,0,628,122,153.2187978
SS1609560262643,circle159,1,0,0,145,70,61.05735009
SS1609560741612,circle160,1,1,1,349,156,90.04998612
SS1609560741612,circle160,2,1,0,487,147,74.33034374
SS1609560942988,circle161,1,1,1,128,200,77.52418977
SS1609560942988,circle161,2,1,0,280,153,68
SS1609560942988,circle161,3,1,0,220,255,74.63243263
SS1609560942988,circle161,4,1,0,68,45,64.66065264
SS1609561045437,circle162,1,1,1,91,54,33.24154028
SS1609561045437,circle162,2,1,0,226,73,39.39543121
SS1609561045437,circle162,3,1,0,122,208,44.28317965
SS1609561045437,circle162,4,1,0,312,245,36.05551275
SS1609561082364,circle163,1,1,0,322,88,45.22167622
SS1609561082364,circle163,2,1,1,467,60,33.10589071
SS1609561082364,circle163,3,1,0,607,80,33.42154993
SS1609561082364,circle163,4,1,0,595,147,29.96664813
SS1609561082364,circle163,5,1,0,399,136,43.8634244
SS1609561504112,circle164,1,1,0,307,252,230.5124725
SS1609561504112,circle164,2,1,1,570,450,44.27188724
SS1609561504112,circle164,3,1,0,606,328,30.46309242
SS1609561504112,circle164,4,1,0,665,412,46.84015371
SS1609561504112,circle164,5,1,0,583,56,189.9078724
SS1609561520947,circle165,1,1,1,267,218,79.9812478
SS1609561520947,circle165,2,1,0,449,195,84.52810184
SS1609561520947,circle165,3,1,0,333,314,86.53323061
SS1609561854923,circle166,1,1,0,345,229,39.69886648
SS1609561854923,circle166,2,1,1,411,164,44.55333882
SS1609561854923,circle166,3,1,0,426,256,40.45985665
SS1609561854923,circle166,4,1,0,324,290,37.20215048
SS1609561854923,circle166,5,1,0,276,181,41.86884283
SS1609804488018,circle167,1,1,1,264,250,65.76473219
SS1609804488018,circle167,2,1,0,439,274,239.081576
SS1609804488018,circle167,3,1,0,30,353,123.0650235
SS1609804488018,circle167,4,1,0,610,40,208.8659857
SS1609804488018,circle167,5,1,0,84,143,140.8012784
SS1609804557478,circle168,1,1,1,344,312,53.07541804
SS1609804557478,circle168,2,1,0,632,112,68.68041933
SS1609804557478,circle168,3,1,0,253,133,60.8276253
SS1609804557478,circle168,4,1,0,528,302,61.61980201
SS1609804557478,circle168,5,1,0,480,410,53.00943312
SS1609827896523,circle169,1,1,1,97,167,34.36568055
SS1609827896523,circle169,2,1,0,127,437,70.9365914
SS1609827896523,circle169,3,1,0,453,368,52.20153254
SS1609827896523,circle169,4,1,0,507,51,51.623638
SS1609890931156,circle170,1,1,1,254,91,165.6049516
SS1609890931156,circle170,2,1,0,173,262,63.07138812
SS1609890931156,circle170,3,1,0,307,287,161.0496818
SS1609891086501,circle171,1,1,1,154,132,77.46612163
SS1609891086501,circle171,3,1,0,385,107,102.0686044
SS1609891086501,circle171,4,1,0,257,295,110.390217
SS1609891086501,circle171,5,1,0,469,345,125.4312561
SS1609891551310,circle172,1,1,1,146,132,66.18912297
SS1609891551310,circle172,2,1,0,327,115,102.0832993
SS1609891551310,circle172,3,1,0,503,44,77.98717843
SS1609908877725,circle173,1,1,1,309,122,59.05929224
SS1609908877725,circle173,2,1,0,422,90,60.8276253
SS1609908877725,circle173,3,1,0,194,78,60.63827174
SS1609908877725,circle173,4,1,0,209,194,58.69412236
SS1609908877725,circle173,5,1,0,374,171,65.4369926
SS1609908914854,circle174,1,1,0,187,145,83.81527307
SS1609908914854,circle174,2,1,1,358,264,117.686023
SS1609908914854,circle174,3,1,0,506,110,103.5857133
SS1609908914854,circle174,4,1,0,717,180,115.5724881
SS1609908914854,circle174,5,1,0,556,358,115.6633045
SS1609908914854,circle174,6,1,0,94,329,91.83681179
SS1609908914854,circle174,7,1,0,249,419,88.23831367
SS1609908998401,circle175,1,1,1,184,179,53.85164807
SS1609908998401,circle175,2,1,0,327,141,45.27692569
SS1609908998401,circle175,3,1,0,442,147,47.29693436
SS1609908998401,circle175,4,1,0,275,280,64.66065264
SS1609908998401,circle175,5,1,0,426,247,49.67896939
SS1609909002041,circle176,1,1,1,195,186,60.46486583
SS1609909002041,circle176,2,1,0,343,150,66.06814664
SS1609909002041,circle176,3,1,0,491,100,68.11754546
SS1609909002041,circle176,4,1,0,290,274,61.52235366
